week_start,VillageID,pred_cases
2024-01-01,6700500-016,0
2024-01-08,6700500-016,0
2024-01-01,6700500-017,0
2024-01-08,6700500-017,0
2024-01-01,6700500-018,0
2024-01-08,6700500-018,0
2024-01-01,6700500-019,0
2024-01-08,6700500-019,0
2024-01-01,6700500-020,0
2024-01-08,6700500-020,0
2024-01-01,6700500-021,0
2024-01-08,6700500-021,0
2024-01-01,6700600-001,0
2024-01-08,6700600-001,2
2024-01-01,6700600-002,0
2024-01-08,6700600-002,2
2024-01-01,6700600-003,0
2024-01-08,6700600-003,2
2024-01-01,6700600-004,0
2024-01-08,6700600-004,2
2024-01-01,6700600-005,0
2024-01-08,6700600-005,2
2024-01-01,6700600-006,0
2024-01-08,6700600-006,2
2024-01-01,6700600-007,0
2024-01-08,6700600-007,2
2024-01-01,6700600-008,0
2024-01-08,6700600-008,2
2024-01-01,6700600-009,0
2024-01-08,6700600-009,2
2024-01-01,6700600-010,0
2024-01-08,6700600-010,2
2024-01-01,6700600-011,0
2024-01-08,6700600-011,2
2024-01-01,6700600-012,0
2024-01-08,6700600-012,2
2024-01-01,6700600-013,0
2024-01-08,6700600-013,2
2024-01-01,6700600-014,0
2024-01-08,6700600-014,2
2024-01-01,6700600-015,0
2024-01-08,6700600-015,2
2024-01-01,6700600-016,0
2024-01-08,6700600-016,1
2024-01-01,6700700-001,0
2024-01-08,6700700-001,0
2024-01-01,6700700-002,0
2024-01-08,6700700-002,0
2024-01-01,6700700-003,0
2024-01-08,6700700-003,0
2024-01-01,6700700-004,0
2024-01-08,6700700-004,0
2024-01-01,6700700-005,0
2024-01-08,6700700-005,0
2024-01-01,6700700-006,0
2024-01-08,6700700-006,0
2024-01-01,6700700-007,0
2024-01-08,6700700-007,0
2024-01-01,6700700-008,0
2024-01-08,6700700-008,0
2024-01-01,6700700-009,0
2024-01-08,6700700-009,0
2024-01-01,6700700-010,0
2024-01-08,6700700-010,0
2024-01-01,6700700-011,0
2024-01-08,6700700-011,0
2024-01-01,6700700-012,0
2024-01-08,6700700-012,0
2024-01-01,6700700-013,0
2024-01-08,6700700-013,0
2024-01-01,6700700-014,0
2024-01-08,6700700-014,0
2024-01-01,6700700-015,0
2024-01-08,6700700-015,0
2024-01-01,6700700-016,0
2024-01-08,6700700-016,0
2024-01-01,6700700-017,0
2024-01-08,6700700-017,0
2024-01-01,6700700-018,0
2024-01-08,6700700-018,0
2024-01-01,6700700-019,0
2024-01-08,6700700-019,0
2024-01-01,6700700-020,0
2024-01-08,6700700-020,0
2024-01-01,6700700-021,0
2024-01-08,6700700-021,0
2024-01-01,6700700-022,0
2024-01-08,6700700-022,0
2024-01-01,6700700-023,0
2024-01-08,6700700-023,0
2024-01-01,6700700-024,0
2024-01-08,6700700-024,0
2024-01-01,6700700-025,0
2024-01-08,6700700-025,0
2024-01-01,6700700-026,0
2024-01-08,6700700-026,0
2024-01-01,6700700-027,0
2024-01-08,6700700-027,0
2024-01-01,6700700-028,0
2024-01-08,6700700-028,0
2024-01-01,6700700-029,0
2024-01-08,6700700-029,0
2024-01-01,6700800-001,0
2024-01-08,6700800-001,0
2024-01-01,6700800-002,0
2024-01-08,6700800-002,0
2024-01-01,6700800-003,0
2024-01-08,6700800-003,0
2024-01-01,6700800-004,0
2024-01-08,6700800-004,0
2024-01-01,6700800-005,0
2024-01-08,6700800-005,0
2024-01-01,6700800-006,0
2024-01-08,6700800-006,0
2024-01-01,6700800-007,0
2024-01-08,6700800-007,0
2024-01-01,6700800-008,0
2024-01-08,6700800-008,0
2024-01-01,6700800-009,0
2024-01-08,6700800-009,0
2024-01-01,6700800-010,0
2024-01-08,6700800-010,0
2024-01-01,6700800-011,0
2024-01-08,6700800-011,0
2024-01-01,6700800-012,0
2024-01-08,6700800-012,0
2024-01-01,6700800-013,0
2024-01-08,6700800-013,0
2024-01-01,6700800-014,0
2024-01-08,6700800-014,0
2024-01-01,6700800-015,0
2024-01-08,6700800-015,0
2024-01-01,6700900-001,0
2024-01-08,6700900-001,0
2024-01-01,6700900-002,0
2024-01-08,6700900-002,0
2024-01-01,6700900-003,0
2024-01-08,6700900-003,0
2024-01-01,6700900-004,0
2024-01-08,6700900-004,0
2024-01-01,6700900-005,0
2024-01-08,6700900-005,0
2024-01-01,6700900-006,0
2024-01-08,6700900-006,0
2024-01-01,6700900-007,0
2024-01-08,6700900-007,0
2024-01-01,6700900-008,0
2024-01-08,6700900-008,0
2024-01-01,6700900-009,0
2024-01-08,6700900-009,0
2024-01-01,6700900-010,0
2024-01-08,6700900-010,0
2024-01-01,6700900-011,0
2024-01-08,6700900-011,0
2024-01-01,6700900-012,0
2024-01-08,6700900-012,0
2024-01-01,6701000-001,0
2024-01-08,6701000-001,0
2024-01-01,6701000-002,0
2024-01-08,6701000-002,0
2024-01-01,6701000-003,0
2024-01-08,6701000-003,0
2024-01-01,6701000-004,0
2024-01-08,6701000-004,0
2024-01-01,6701000-005,0
2024-01-08,6701000-005,0
2024-01-01,6701000-006,0
2024-01-08,6701000-006,0
2024-01-01,6701000-007,0
2024-01-08,6701000-007,0
2024-01-01,6701000-008,0
2024-01-08,6701000-008,0
2024-01-01,6701000-009,0
2024-01-08,6701000-009,0
2024-01-01,6701000-010,0
2024-01-08,6701000-010,0
2024-01-01,6701000-011,0
2024-01-08,6701000-011,0
2024-01-01,6701000-012,0
2024-01-08,6701000-012,0
2024-01-01,6701000-013,0
2024-01-08,6701000-013,0
2024-01-01,6701100-001,0
2024-01-08,6701100-001,0
2024-01-01,6701100-002,0
2024-01-08,6701100-002,0
2024-01-01,6701100-003,0
2024-01-08,6701100-003,0
2024-01-01,6701100-004,0
2024-01-08,6701100-004,0
2024-01-01,6701100-005,0
2024-01-08,6701100-005,0
2024-01-01,6701100-006,0
2024-01-08,6701100-006,0
2024-01-01,6701100-007,0
2024-01-08,6701100-007,0
2024-01-01,6701100-008,0
2024-01-08,6701100-008,0
2024-01-01,6701100-009,0
2024-01-08,6701100-009,0
2024-01-01,6701100-010,0
2024-01-08,6701100-010,0
2024-01-01,6701200-001,24
2024-01-08,6701200-001,0
2024-01-01,6701200-002,1
2024-01-08,6701200-002,0
2024-01-01,6701200-003,40
2024-01-08,6701200-003,0
2024-01-01,6701200-004,40
2024-01-08,6701200-004,0
2024-01-01,6701200-005,40
2024-01-08,6701200-005,0
2024-01-01,6701200-006,24
2024-01-08,6701200-006,0
2024-01-01,6701200-007,0
2024-01-08,6701200-007,0
2024-01-01,6701200-008,0
2024-01-08,6701200-008,0
2024-01-01,6701200-009,0
2024-01-08,6701200-009,0
2024-01-01,6701200-010,0
2024-01-08,6701200-010,0
2024-01-01,6701200-011,0
2024-01-08,6701200-011,0
2024-01-01,6701200-012,0
2024-01-08,6701200-012,0
2024-01-01,6701200-013,0
2024-01-08,6701200-013,0
2024-01-01,6701200-014,0
2024-01-08,6701200-014,0
2024-01-01,6701200-015,0
2024-01-08,6701200-015,0
2024-01-01,6701200-016,0
2024-01-08,6701200-016,0
2024-01-01,6701200-017,0
2024-01-08,6701200-017,0
2024-01-01,6701200-018,0
2024-01-08,6701200-018,0
2024-01-01,6701200-019,1
2024-01-08,6701200-019,0
2024-01-01,6701200-020,0
2024-01-08,6701200-020,0
2024-01-01,6701200-021,0
2024-01-08,6701200-021,0
2024-01-01,6701300-001,0
2024-01-08,6701300-001,0
2024-01-01,6701300-002,0
2024-01-08,6701300-002,0
2024-01-01,6701300-003,0
2024-01-08,6701300-003,0
2024-01-01,6701300-004,0
2024-01-08,6701300-004,0
2024-01-01,6701300-005,0
2024-01-08,6701300-005,0
2024-01-01,6701300-006,0
2024-01-08,6701300-006,0
2024-01-01,6701300-007,0
2024-01-08,6701300-007,0
2024-01-01,6701300-008,0
2024-01-08,6701300-008,0
2024-01-01,6701300-009,0
2024-01-08,6701300-009,0
2024-01-01,6701300-010,0
2024-01-08,6701300-010,0
2024-01-01,6701300-011,0
2024-01-08,6701300-011,0
2024-01-01,6701300-012,0
2024-01-08,6701300-012,0
2024-01-01,6701300-013,0
2024-01-08,6701300-013,0
2024-01-01,6701400-001,0
2024-01-08,6701400-001,0
2024-01-01,6701400-002,0
2024-01-08,6701400-002,0
2024-01-01,6701400-003,0
2024-01-08,6701400-003,0
2024-01-01,6701400-004,0
2024-01-08,6701400-004,0
2024-01-01,6701400-005,0
2024-01-08,6701400-005,0
2024-01-01,6701400-006,0
2024-01-08,6701400-006,0
2024-01-01,6701400-007,0
2024-01-08,6701400-007,0
2024-01-01,6701400-008,0
2024-01-08,6701400-008,0
2024-01-01,6701400-009,0
2024-01-08,6701400-009,0
2024-01-01,6701400-010,0
2024-01-08,6701400-010,0
2024-01-01,6701400-011,0
2024-01-08,6701400-011,0
2024-01-01,6701400-012,0
2024-01-08,6701400-012,0
2024-01-01,6701500-001,0
2024-01-08,6701500-001,1
2024-01-01,6701500-002,0
2024-01-08,6701500-002,1
2024-01-01,6701500-003,0
2024-01-08,6701500-003,1
2024-01-01,6701500-004,0
2024-01-08,6701500-004,1
2024-01-01,6701500-005,0
2024-01-08,6701500-005,1
2024-01-01,6701500-006,0
2024-01-08,6701500-006,1
2024-01-01,6701500-007,0
2024-01-08,6701500-007,1
2024-01-01,6701500-008,0
2024-01-08,6701500-008,1
2024-01-01,6701500-009,0
2024-01-08,6701500-009,1
2024-01-01,6701500-010,0
2024-01-08,6701500-010,1
2024-01-01,6701500-011,0
2024-01-08,6701500-011,1
2024-01-01,6701500-012,0
2024-01-08,6701500-012,1
2024-01-01,6701500-013,0
2024-01-08,6701500-013,1
2024-01-01,6701500-014,0
2024-01-08,6701500-014,1
2024-01-01,6701500-015,0
2024-01-08,6701500-015,1
2024-01-01,6701500-016,0
2024-01-08,6701500-016,1
2024-01-01,6701500-017,0
2024-01-08,6701500-017,1
2024-01-01,6701500-018,0
2024-01-08,6701500-018,1
2024-01-01,6701500-019,0
2024-01-08,6701500-019,1
2024-01-01,6701500-020,0
2024-01-08,6701500-020,1
2024-01-01,6701500-021,0
2024-01-08,6701500-021,1
2024-01-01,6701500-022,0
2024-01-08,6701500-022,1
2024-01-01,6701500-023,0
2024-01-08,6701500-023,1
2024-01-01,6701600-001,0
2024-01-08,6701600-001,0
2024-01-01,6701600-002,0
2024-01-08,6701600-002,0
2024-01-01,6701600-003,0
2024-01-08,6701600-003,0
2024-01-01,6701600-004,0
2024-01-08,6701600-004,0
2024-01-01,6701600-005,0
2024-01-08,6701600-005,0
2024-01-01,6701600-006,0
2024-01-08,6701600-006,0
2024-01-01,6701600-007,0
2024-01-08,6701600-007,0
2024-01-01,6701600-008,0
2024-01-08,6701600-008,0
2024-01-01,6701600-009,0
2024-01-08,6701600-009,0
2024-01-01,6701600-010,0
2024-01-08,6701600-010,0
2024-01-01,6701600-011,0
2024-01-08,6701600-011,0
2024-01-01,6701600-012,0
2024-01-08,6701600-012,0
2024-01-01,6701600-013,0
2024-01-08,6701600-013,0
2024-01-01,6701600-014,0
2024-01-08,6701600-014,0
2024-01-01,6701600-015,0
2024-01-08,6701600-015,0
2024-01-01,6701600-016,0
2024-01-08,6701600-016,0
2024-01-01,6701600-017,0
2024-01-08,6701600-017,0
2024-01-01,6701600-018,0
2024-01-08,6701600-018,0
2024-01-01,6701700-001,0
2024-01-08,6701700-001,0
2024-01-01,6701700-002,0
2024-01-08,6701700-002,0
2024-01-01,6701700-003,0
2024-01-08,6701700-003,0
2024-01-01,6701700-004,0
2024-01-08,6701700-004,0
2024-01-01,6701700-005,0
2024-01-08,6701700-005,0
2024-01-01,6701700-006,0
2024-01-08,6701700-006,0
2024-01-01,6701700-007,0
2024-01-08,6701700-007,0
2024-01-01,6701700-008,0
2024-01-08,6701700-008,0
2024-01-01,6701700-009,0
2024-01-08,6701700-009,0
2024-01-01,6701700-010,0
2024-01-08,6701700-010,0
2024-01-01,6701700-011,0
2024-01-08,6701700-011,0
2024-01-01,6701700-012,0
2024-01-08,6701700-012,0
2024-01-01,6701700-013,0
2024-01-08,6701700-013,0
2024-01-01,6701800-001,0
2024-01-08,6701800-001,0
2024-01-01,6701800-002,0
2024-01-08,6701800-002,0
2024-01-01,6701800-003,0
2024-01-08,6701800-003,0
2024-01-01,6701800-004,0
2024-01-08,6701800-004,0
2024-01-01,6701800-005,0
2024-01-08,6701800-005,0
2024-01-01,6701800-006,0
2024-01-08,6701800-006,0
2024-01-01,6701800-007,0
2024-01-08,6701800-007,0
2024-01-01,6701800-008,0
2024-01-08,6701800-008,0
2024-01-01,6701800-009,0
2024-01-08,6701800-009,0
2024-01-01,6701800-010,0
2024-01-08,6701800-010,0
2024-01-01,6701800-011,0
2024-01-08,6701800-011,0
2024-01-01,6701800-012,0
2024-01-08,6701800-012,0
2024-01-01,6701800-013,0
2024-01-08,6701800-013,0
2024-01-01,6701800-014,0
2024-01-08,6701800-014,0
2024-01-01,6701800-015,0
2024-01-08,6701800-015,0
2024-01-01,6701800-016,0
2024-01-08,6701800-016,0
2024-01-01,6701800-017,0
2024-01-08,6701800-017,0
2024-01-01,6701800-018,0
2024-01-08,6701800-018,0
2024-01-01,6701800-019,0
2024-01-08,6701800-019,0
2024-01-01,6701800-020,0
2024-01-08,6701800-020,0
2024-01-01,6701900-001,0
2024-01-08,6701900-001,0
2024-01-01,6701900-002,0
2024-01-08,6701900-002,0
2024-01-01,6701900-003,0
2024-01-08,6701900-003,0
2024-01-01,6701900-004,0
2024-01-08,6701900-004,0
2024-01-01,6701900-005,0
2024-01-08,6701900-005,0
2024-01-01,6701900-006,0
2024-01-08,6701900-006,0
2024-01-01,6701900-007,0
2024-01-08,6701900-007,0
2024-01-01,6701900-008,0
2024-01-08,6701900-008,0
2024-01-01,6701900-009,0
2024-01-08,6701900-009,0
2024-01-01,6701900-010,0
2024-01-08,6701900-010,0
2024-01-01,6701900-011,0
2024-01-08,6701900-011,0
2024-01-01,6701900-012,0
2024-01-08,6701900-012,0
2024-01-01,6701900-013,0
2024-01-08,6701900-013,0
2024-01-01,6701900-014,0
2024-01-08,6701900-014,0
2024-01-01,6701900-015,0
2024-01-08,6701900-015,0
2024-01-01,6701900-016,0
2024-01-08,6701900-016,0
2024-01-01,6701900-017,0
2024-01-08,6701900-017,0
2024-01-01,6701900-018,0
2024-01-08,6701900-018,0
2024-01-01,6701900-019,0
2024-01-08,6701900-019,0
2024-01-01,6701900-020,0
2024-01-08,6701900-020,0
2024-01-01,6701900-021,0
2024-01-08,6701900-021,0
2024-01-01,6702000-001,0
2024-01-08,6702000-001,0
2024-01-01,6702000-002,0
2024-01-08,6702000-002,0
2024-01-01,6702000-003,0
2024-01-08,6702000-003,0
2024-01-01,6702000-004,0
2024-01-08,6702000-004,0
2024-01-01,6702000-005,0
2024-01-08,6702000-005,0
2024-01-01,6702000-006,0
2024-01-08,6702000-006,0
2024-01-01,6702000-007,0
2024-01-08,6702000-007,0
2024-01-01,6702000-008,0
2024-01-08,6702000-008,0
2024-01-01,6702000-009,0
2024-01-08,6702000-009,0
2024-01-01,6702000-010,0
2024-01-08,6702000-010,0
2024-01-01,6702000-011,0
2024-01-08,6702000-011,0
2024-01-01,6702100-001,0
2024-01-08,6702100-001,0
2024-01-01,6702100-002,0
2024-01-08,6702100-002,0
2024-01-01,6702100-003,0
2024-01-08,6702100-003,0
2024-01-01,6702100-004,0
2024-01-08,6702100-004,0
2024-01-01,6702100-005,0
2024-01-08,6702100-005,0
2024-01-01,6702100-006,0
2024-01-08,6702100-006,0
2024-01-01,6702100-007,0
2024-01-08,6702100-007,0
2024-01-01,6702100-008,0
2024-01-08,6702100-008,0
2024-01-01,6702100-009,0
2024-01-08,6702100-009,0
2024-01-01,6702100-010,0
2024-01-08,6702100-010,0
2024-01-01,6702100-011,0
2024-01-08,6702100-011,0
2024-01-01,6702100-012,0
2024-01-08,6702100-012,0
2024-01-01,6702100-013,0
2024-01-08,6702100-013,0
2024-01-01,6702100-014,0
2024-01-08,6702100-014,0
2024-01-01,6702100-015,0
2024-01-08,6702100-015,0
2024-01-01,6702100-016,0
2024-01-08,6702100-016,0
2024-01-01,6702200-001,0
2024-01-08,6702200-001,0
2024-01-01,6702200-002,0
2024-01-08,6702200-002,0
2024-01-01,6702200-003,0
2024-01-08,6702200-003,0
2024-01-01,6702200-004,0
2024-01-08,6702200-004,0
