from,to,distance
6701100-006,6701100-010,1.4485797882080078
6703000-008,6702600-009,4.92269229888916
6701400-006,6701400-009,3.0713274478912354
6701200-017,6701500-013,2.0355823040008545
6701500-012,6701500-014,2.1412088871002197
6703100-037,6703100-003,1.5093309879302979
6701800-002,6701800-003,1.4132919311523438
6703700-037,6703700-013,0.4523688852787018
6701700-008,6701700-013,3.9787821769714355
6701800-014,6701800-013,0.9769350290298462
6700100-021,6700100-028,1.4828680753707886
6703400-016,6703400-012,0.4739364683628082
6700200-011,6700200-012,1.5301934480667114
6703400-027,6703100-001,0.8764631152153015
6702300-004,6702300-003,2.175980567932129
6700100-017,6700200-001,1.4740803241729736
6703400-012,6703400-014,0.5139235258102417
6703500-010,6703500-009,1.1277002096176147
6702200-001,6702200-002,1.912558674812317
6701200-021,6701200-006,2.5380256175994873
6702200-004,6702200-007,1.284117341041565
6702800-021,6702800-014,1.498427152633667
6701800-002,6701800-016,2.7271218299865723
6700800-004,6700800-002,2.239307403564453
6703100-039,6703100-025,0.7383520603179932
6702200-005,6701100-006,3.2685742378234863
6703500-024,6703500-028,2.7465827465057373
6703700-018,6703700-013,0.5233325362205505
6700100-008,6700500-011,2.8528194427490234
6703300-017,6703300-038,1.1391348838806152
6702800-017,6702800-016,1.1595734357833862
6703100-032,6703100-022,0.7766409516334534
6703400-041,6703400-018,0.6665727496147156
6702800-016,6703100-012,1.7799910306930542
6702000-007,6701900-004,2.446291208267212
6703200-014,6703200-042,0.8665845394134521
6702300-004,6702400-006,4.153957843780518
6702700-009,6702700-018,3.2750115394592285
6703500-019,6703500-034,2.56000018119812
6701100-001,6701900-020,3.184762716293335
6703300-013,6703300-003,0.9335361123085022
6701200-002,6701200-006,1.5415723323822021
6701200-021,6701200-019,1.4293421506881714
6700800-001,6700800-010,2.0788280963897705
6701600-014,6701600-010,1.6286725997924805
6700800-004,6700800-015,0.8650947213172913
6702800-005,6702800-019,0.28254956007003784
6701900-007,6701900-002,1.4508823156356812
6703100-020,6703100-025,0.8007012605667114
6703100-011,6703500-039,1.038249135017395
6703200-044,6703200-042,0.8904742002487183
6701500-011,6701500-017,2.173278331756592
6700700-007,6700700-028,2.1422107219696045
6700100-002,6700100-004,0.7468335032463074
6701800-020,6701800-019,2.262273073196411
6703700-020,6703700-035,0.33735355734825134
6700200-017,6700200-018,2.683943033218384
6701300-004,6701300-009,2.952028751373291
6703500-016,6703500-042,1.952787160873413
6700600-016,6700600-004,3.18881893157959
6702500-009,6702400-007,10.52511978149414
6703300-010,6703300-011,0.26525866985321045
6701300-006,6701600-007,2.75185227394104
6703500-019,6703500-047,2.606868267059326
6700400-008,6700600-007,2.6963882446289062
6700300-004,6700300-003,0.8365151882171631
6701900-011,6701900-013,2.146347761154175
6700200-020,6701300-009,2.2159035205841064
6701200-002,6701200-019,1.689744472503662
6703400-033,6703400-032,0.6624922752380371
6703500-011,6703500-048,1.7072495222091675
6700800-007,6700800-003,1.9278136491775513
6700900-011,6700900-001,4.32499361038208
6701900-007,6701900-015,2.54584002494812
