CityName,YY,MM,WGS84_Lon,WGS84_Lat,TempValue
臺南市,1960,2,120.25,22.90,18.8954
臺南市,1960,2,120.25,22.95,18.7055
臺南市,1960,2,120.25,23.00,18.4478
臺南市,1960,2,120.25,23.05,18.0603
臺南市,1960,2,120.25,23.10,17.7457
臺南市,1960,2,120.25,23.15,17.718
臺南市,1960,2,120.25,23.20,17.707
臺南市,1960,2,120.25,23.25,17.7199
臺南市,1960,2,120.25,23.30,17.7158
臺南市,1960,2,120.25,23.35,17.7081
臺南市,1960,2,120.30,22.90,18.5866
臺南市,1960,2,120.30,22.95,18.5035
臺南市,1960,2,120.30,23.00,18.3447
臺南市,1960,2,120.30,23.05,18.2912
臺南市,1960,2,120.30,23.10,17.8147
臺南市,1960,2,120.30,23.15,17.6933
臺南市,1960,2,120.30,23.20,17.7068
臺南市,1960,2,120.30,23.25,17.7018
臺南市,1960,2,120.30,23.30,17.6825
臺南市,1960,2,120.30,23.35,17.6947
臺南市,1960,2,120.30,23.40,17.6936
臺南市,1960,2,120.35,22.90,18.9304
臺南市,1960,2,120.35,22.95,18.3632
臺南市,1960,2,120.35,23.00,18.1353
臺南市,1960,2,120.35,23.05,18.141
臺南市,1960,2,120.35,23.10,17.8902
臺南市,1960,2,120.35,23.15,17.6518
臺南市,1960,2,120.35,23.20,17.6069
臺南市,1960,2,120.35,23.25,17.6647
臺南市,1960,2,120.35,23.30,17.6813
臺南市,1960,2,120.35,23.35,17.6773
臺南市,1960,2,120.35,23.40,17.6643
臺南市,1960,2,120.40,22.90,18.9974
臺南市,1960,2,120.40,22.95,18.4913
臺南市,1960,2,120.40,23.00,17.9565
臺南市,1960,2,120.40,23.05,18.09
臺南市,1960,2,120.40,23.10,17.5766
臺南市,1960,2,120.40,23.15,17.4861
臺南市,1960,2,120.40,23.20,17.3592
臺南市,1960,2,120.40,23.25,17.3424
臺南市,1960,2,120.40,23.30,17.5745
臺南市,1960,2,120.40,23.35,17.6413
臺南市,1960,2,120.40,23.40,17.6525
臺南市,1960,2,120.45,22.95,18.6303
臺南市,1960,2,120.45,23.00,18.0224
臺南市,1960,2,120.45,23.05,18.0382
臺南市,1960,2,120.45,23.10,17.6197
臺南市,1960,2,120.45,23.15,17.2895
臺南市,1960,2,120.45,23.20,17.0443
臺南市,1960,2,120.45,23.25,17.2441
臺南市,1960,2,120.45,23.30,17.2735
臺南市,1960,2,120.45,23.35,17.459
臺南市,1960,2,120.45,23.40,17.5304
臺南市,1960,2,120.50,23.00,17.7884
臺南市,1960,2,120.50,23.05,17.0442
臺南市,1960,2,120.50,23.10,17.2835
臺南市,1960,2,120.50,23.15,17.1767
臺南市,1960,2,120.50,23.20,17.0749
臺南市,1960,2,120.50,23.25,15.8347
臺南市,1960,2,120.50,23.30,15.7329
臺南市,1960,2,120.50,23.35,16.4431
臺南市,1960,2,120.50,23.40,17.2061
臺南市,1960,2,120.55,23.05,17.0582
臺南市,1960,2,120.55,23.10,16.7304
臺南市,1960,2,120.55,23.15,15.8713
臺南市,1960,2,120.55,23.20,16.038
臺南市,1960,2,120.55,23.25,16.4654
臺南市,1960,2,120.55,23.30,15.2701
臺南市,1960,2,120.55,23.35,15.004
臺南市,1960,2,120.60,23.10,16.4853
臺南市,1960,2,120.60,23.15,16.1652
臺南市,1960,2,120.60,23.20,15.9853
臺南市,1960,2,120.60,23.25,15.1766
臺南市,1960,2,120.65,23.15,14.9625
臺南市,1960,2,120.65,23.20,15.0636
臺南市,1960,2,120.65,23.25,15.0158
臺南市,1960,3,120.05,23.05,23.4037
臺南市,1960,3,120.05,23.10,23.2011
臺南市,1960,3,120.05,23.15,22.9171
臺南市,1960,3,120.05,23.20,NAN
臺南市,1960,3,120.10,23.00,NAN
臺南市,1960,3,120.10,23.05,23.4798
臺南市,1960,3,120.10,23.10,22.9812
臺南市,1960,3,120.10,23.15,22.8835
臺南市,1960,3,120.10,23.20,22.8704
臺南市,1960,3,120.10,23.25,22.8868
臺南市,1960,3,120.10,23.30,22.8966
臺南市,1960,3,120.10,23.35,22.8976
臺南市,1960,3,120.15,22.90,23.7433
臺南市,1960,3,120.15,22.95,23.5764
臺南市,1960,3,120.15,23.00,23.5702
臺南市,1960,3,120.15,23.05,23.3137
臺南市,1960,3,120.15,23.10,22.886
臺南市,1960,3,120.15,23.15,22.8778
臺南市,1960,3,120.15,23.20,22.8749
臺南市,1960,3,120.15,23.25,22.865
臺南市,1960,3,120.15,23.30,22.8653
臺南市,1960,3,120.15,23.35,22.8674
臺南市,1960,3,120.20,22.90,23.7195
臺南市,1960,3,120.20,22.95,23.6541
臺南市,1960,3,120.20,23.00,23.4371
臺南市,1960,3,120.20,23.05,23.1002
臺南市,1960,3,120.20,23.10,22.8917
臺南市,1960,3,120.20,23.15,22.8787
臺南市,1960,3,120.20,23.20,22.8821
臺南市,1960,3,120.20,23.25,22.8777
臺南市,1960,3,120.20,23.30,22.877
臺南市,1960,3,120.25,22.90,23.5609
臺南市,1960,3,120.25,22.95,23.4629
臺南市,1960,3,120.25,23.00,23.3118
臺南市,1960,3,120.25,23.05,23.0737
臺南市,1960,3,120.25,23.10,22.8978
臺南市,1960,3,120.25,23.15,22.87
臺南市,1960,3,120.25,23.20,22.8583
臺南市,1960,3,120.25,23.25,22.8707
臺南市,1960,3,120.25,23.30,22.8664
臺南市,1960,3,120.25,23.35,22.8587
臺南市,1960,3,120.30,22.90,23.4096
臺南市,1960,3,120.30,22.95,23.3451
臺南市,1960,3,120.30,23.00,23.2174
臺南市,1960,3,120.30,23.05,23.1921
臺南市,1960,3,120.30,23.10,22.9286
臺南市,1960,3,120.30,23.15,22.8478
臺南市,1960,3,120.30,23.20,22.8603
