﻿縣市別代碼,行政區域代碼,監測週期,陽性率,總卵粒數 
67000,67000310,112年第27週,39.53%,6382
67000,67000360,112年第27週,33.97%,1789
67000,67000350,112年第27週,48.20%,9225
67000,67000320,112年第27週,34.44%,4823
67000,67000330,112年第27週,39.41%,6859
67000,67000010,112年第27週,27.78%,1094
67000,67000280,112年第27週,42.86%,1287
67000,67000370,112年第28週,37.08%,2829
67000,67000270,112年第28週,28.13%,1282
67000,67000340,112年第28週,39.14%,4378
67000,67000310,112年第28週,38.57%,6546
67000,67000360,112年第28週,36.54%,2053
67000,67000350,112年第28週,51.47%,10195
67000,67000320,112年第28週,32.41%,4610
67000,67000330,112年第28週,38.29%,5319
67000,67000010,112年第28週,19.44%,712
67000,67000280,112年第28週,34.52%,1236
67000,67000370,112年第29週,30.83%,2411
67000,67000270,112年第29週,34.38%,1492
67000,67000340,112年第29週,32.83%,3019
67000,67000310,112年第29週,31.98%,4563
67000,67000360,112年第29週,28.85%,1375
67000,67000350,112年第29週,44.61%,7362
67000,67000320,112年第29週,22.59%,2386
67000,67000330,112年第29週,35.59%,4095
67000,67000010,112年第29週,23.61%,801
67000,67000280,112年第29週,34.52%,1225
67000,67000370,112年第30週,32.50%,2155
67000,67000270,112年第30週,29.17%,1058
67000,67000340,112年第30週,33.84%,3653
67000,67000310,112年第30週,29.26%,3510
67000,67000360,112年第30週,32.69%,1715
67000,67000350,112年第30週,46.08%,8433
67000,67000320,112年第30週,28.15%,3694
67000,67000330,112年第30週,33.78%,3221
67000,67000010,112年第30週,20.83%,677
67000,67000280,112年第30週,27.38%,600
67000,67000370,112年第20週,13.33%,726
67000,67000270,112年第20週,16.15%,532
67000,67000340,112年第20週,20.71%,1964
67000,67000310,112年第20週,12.21%,1346
67000,67000360,112年第20週,21.15%,526
67000,67000350,112年第20週,23.37%,3345
67000,67000320,112年第20週,16.48%,2516
67000,67000330,112年第20週,19.14%,1760
67000,67000010,112年第20週,18.06%,704
67000,67000280,112年第20週,15.48%,173
67000,67000370,112年第1週,6.25%,279
67000,67000270,112年第1週,5.21%,175
67000,67000340,112年第1週,4.80%,395
67000,67000310,112年第1週,3.49%,470
67000,67000360,112年第1週,3.21%,76
67000,67000350,112年第1週,5.23%,698
67000,67000320,112年第1週,2.78%,319
67000,67000330,112年第1週,5.63%,558
67000,67000010,112年第1週,4.17%,39
67000,67000280,112年第1週,0.00%,0
67000,67000370,112年第2週,7.50%,537
67000,67000270,112年第2週,6.25%,234
67000,67000340,112年第2週,6.57%,596
67000,67000310,112年第2週,6.59%,756
67000,67000360,112年第2週,10.26%,505
67000,67000350,112年第2週,9.48%,1285
67000,67000320,112年第2週,5.93%,871
67000,67000330,112年第2週,7.88%,760
67000,67000010,112年第2週,8.33%,106
67000,67000280,112年第2週,4.76%,151
67000,67000370,112年第3週,16.25%,1206
67000,67000270,112年第3週,7.29%,369
67000,67000340,112年第3週,9.60%,836
67000,67000310,112年第3週,7.56%,893
67000,67000360,112年第3週,12.18%,549
67000,67000350,112年第3週,9.80%,1379
67000,67000320,112年第3週,5.93%,561
67000,67000330,112年第3週,13.51%,1576
67000,67000010,112年第3週,9.72%,251
67000,67000280,112年第3週,9.52%,187
67000,67000370,112年第5週,17.50%,1032
67000,67000270,112年第5週,7.29%,269
67000,67000340,112年第5週,12.63%,1337
67000,67000310,112年第5週,6.40%,948
67000,67000360,112年第5週,12.82%,527
67000,67000350,112年第5週,12.25%,2175
67000,67000320,112年第5週,12.59%,1818
67000,67000330,112年第5週,17.34%,2241
67000,67000010,112年第5週,12.50%,515
67000,67000280,112年第5週,4.76%,98
67000,67000370,112年第6週,5.83%,296
67000,67000270,112年第6週,6.77%,181
67000,67000340,112年第6週,8.59%,865
67000,67000310,112年第6週,5.62%,815
67000,67000360,112年第6週,5.13%,321
67000,67000350,112年第6週,9.97%,1477
67000,67000320,112年第6週,8.89%,841
67000,67000330,112年第6週,10.59%,1363
67000,67000010,112年第6週,13.89%,381
67000,67000280,112年第6週,5.95%,84
