DistrictCode,DistrictName,VillageID,VillageName
6700500,後壁區,6700500-020,頂長里
6700500,後壁區,6700500-021,平安里
6700600,東山區,6700600-001,東山里
6700600,東山區,6700600-002,東中里
6700600,東山區,6700600-003,東正里
6700600,東山區,6700600-004,三榮里
6700600,東山區,6700600-005,大客里
6700600,東山區,6700600-006,科里里
6700600,東山區,6700600-007,東河里
6700600,東山區,6700600-008,南溪里
6700600,東山區,6700600-009,水雲里
6700600,東山區,6700600-010,林安里
6700600,東山區,6700600-011,東原里
6700600,東山區,6700600-012,嶺南里
6700600,東山區,6700600-013,南勢里
6700600,東山區,6700600-014,青山里
6700600,東山區,6700600-015,高原里
6700600,東山區,6700600-016,聖賢里
6700700,麻豆區,6700700-001,穀興里
6700700,麻豆區,6700700-002,保安里
6700700,麻豆區,6700700-003,東角里
6700700,麻豆區,6700700-004,晋江里
6700700,麻豆區,6700700-005,巷口里
6700700,麻豆區,6700700-006,中興里
6700700,麻豆區,6700700-007,興農里
6700700,麻豆區,6700700-008,新建里
6700700,麻豆區,6700700-009,油車里
6700700,麻豆區,6700700-010,北勢里
6700700,麻豆區,6700700-011,大埕里
6700700,麻豆區,6700700-012,總榮里
6700700,麻豆區,6700700-013,龍泉里
6700700,麻豆區,6700700-014,南勢里
6700700,麻豆區,6700700-015,寮廍里
6700700,麻豆區,6700700-016,小埤里
6700700,麻豆區,6700700-017,埤頭里
6700700,麻豆區,6700700-018,大山里
6700700,麻豆區,6700700-019,海埔里
6700700,麻豆區,6700700-020,莊禮里
6700700,麻豆區,6700700-021,港尾里
6700700,麻豆區,6700700-022,麻口里
6700700,麻豆區,6700700-023,安東里
6700700,麻豆區,6700700-024,安業里
6700700,麻豆區,6700700-025,安西里
6700700,麻豆區,6700700-026,謝安里
6700700,麻豆區,6700700-027,中民里
6700700,麻豆區,6700700-028,安正里
6700700,麻豆區,6700700-029,磚井里
6700800,下營區,6700800-001,下營里
6700800,下營區,6700800-002,仁里里
6700800,下營區,6700800-003,宅內里
6700800,下營區,6700800-004,後街里
6700800,下營區,6700800-005,新興里
6700800,下營區,6700800-006,營前里
6700800,下營區,6700800-007,大屯里
6700800,下營區,6700800-008,大埤里
6700800,下營區,6700800-009,茅港里
6700800,下營區,6700800-010,中營里
6700800,下營區,6700800-011,開化里
6700800,下營區,6700800-012,西連里
6700800,下營區,6700800-013,賀建里
6700800,下營區,6700800-014,甲中里
6700800,下營區,6700800-015,紅厝里
6700900,六甲區,6700900-001,六甲里
6700900,六甲區,6700900-002,甲東里
6700900,六甲區,6700900-003,甲南里
6700900,六甲區,6700900-004,龍湖里
6700900,六甲區,6700900-005,七甲里
6700900,六甲區,6700900-006,二甲里
6700900,六甲區,6700900-007,水林里
6700900,六甲區,6700900-008,中社里
6700900,六甲區,6700900-009,龜港里
6700900,六甲區,6700900-010,菁埔里
6700900,六甲區,6700900-011,王爺里
6700900,六甲區,6700900-012,大丘里
6701000,官田區,6701000-001,官田里
6701000,官田區,6701000-002,二鎮里
6701000,官田區,6701000-003,湖山里
6701000,官田區,6701000-004,嘉南里
6701000,官田區,6701000-005,大崎里
6701000,官田區,6701000-006,隆田里
6701000,官田區,6701000-007,隆本里
6701000,官田區,6701000-008,南廍里
6701000,官田區,6701000-009,東庄里
6701000,官田區,6701000-010,西庄里
6701000,官田區,6701000-011,拔林里
6701000,官田區,6701000-012,渡頭里
6701000,官田區,6701000-013,社子里
6701100,大內區,6701100-001,石湖里
6701100,大內區,6701100-002,石林里
6701100,大內區,6701100-003,石城里
6701100,大內區,6701100-004,內江里
6701100,大內區,6701100-005,大內里
6701100,大內區,6701100-006,內郭里
6701100,大內區,6701100-007,頭社里
6701100,大內區,6701100-008,環湖里
6701100,大內區,6701100-009,二溪里
6701100,大內區,6701100-010,曲溪里
6701200,佳里區,6701200-001,東寧里
6701200,佳里區,6701200-002,忠仁里
6701200,佳里區,6701200-003,鎮山里
6701200,佳里區,6701200-004,建南里
6701200,佳里區,6701200-005,安西里
6701200,佳里區,6701200-006,六安里
6701200,佳里區,6701200-007,佳化里
6701200,佳里區,6701200-008,禮化里
6701200,佳里區,6701200-009,興化里
6701200,佳里區,6701200-010,營頂里
6701200,佳里區,6701200-011,溪州里
6701200,佳里區,6701200-012,海澄里
6701200,佳里區,6701200-013,漳洲里
6701200,佳里區,6701200-014,頂廍里
6701200,佳里區,6701200-015,嘉福里
6701200,佳里區,6701200-016,通興里
6701200,佳里區,6701200-017,蚶寮里
6701200,佳里區,6701200-018,龍安里
6701200,佳里區,6701200-019,民安里
6701200,佳里區,6701200-020,子龍里
6701200,佳里區,6701200-021,三協里
6701300,學甲區,6701300-001,仁得里
6701300,學甲區,6701300-002,新榮里
6701300,學甲區,6701300-003,光華里
6701300,學甲區,6701300-004,宅港里
6701300,學甲區,6701300-005,慈福里
6701300,學甲區,6701300-006,秀昌里
6701300,學甲區,6701300-007,明宜里
6701300,學甲區,6701300-008,豐和里
6701300,學甲區,6701300-009,平和里
6701300,學甲區,6701300-010,新達里
6701300,學甲區,6701300-011,大灣里
6701300,學甲區,6701300-012,三慶里
6701300,學甲區,6701300-013,中洲里
6701400,西港區,6701400-001,西港里
6701400,西港區,6701400-002,南海里
6701400,西港區,6701400-003,港東里
6701400,西港區,6701400-004,檨林里
6701400,西港區,6701400-005,後營里
6701400,西港區,6701400-006,營西里
6701400,西港區,6701400-007,金砂里
6701400,西港區,6701400-008,劉厝里
6701400,西港區,6701400-009,竹林里
6701400,西港區,6701400-010,永樂里
6701400,西港區,6701400-011,新復里
6701400,西港區,6701400-012,慶安里
6701500,七股區,6701500-001,後港里
6701500,七股區,6701500-002,大潭里
6701500,七股區,6701500-003,城內里
6701500,七股區,6701500-004,篤加里
6701500,七股區,6701500-005,頂山里
6701500,七股區,6701500-006,西寮里
6701500,七股區,6701500-007,塩埕里
6701500,七股區,6701500-008,龍山里
6701500,七股區,6701500-009,溪南里
6701500,七股區,6701500-010,七股里
6701500,七股區,6701500-011,玉成里
6701500,七股區,6701500-012,大埕里
6701500,七股區,6701500-013,大寮里
6701500,七股區,6701500-014,看坪里
6701500,七股區,6701500-015,樹林里
6701500,七股區,6701500-016,竹港里
6701500,七股區,6701500-017,中寮里
6701500,七股區,6701500-018,竹橋里
6701500,七股區,6701500-019,義合里
6701500,七股區,6701500-020,槺榔里
6701500,七股區,6701500-021,永吉里
6701500,七股區,6701500-022,三股里
6701500,七股區,6701500-023,十份里
6701600,將軍區,6701600-001,長榮里
6701600,將軍區,6701600-002,西華里
6701600,將軍區,6701600-003,西和里
6701600,將軍區,6701600-004,忠興里
6701600,將軍區,6701600-005,嘉昌里
6701600,將軍區,6701600-006,保源里
6701600,將軍區,6701600-007,苓和里
6701600,將軍區,6701600-008,仁和里
6701600,將軍區,6701600-009,北埔里
6701600,將軍區,6701600-010,將富里
6701600,將軍區,6701600-011,將貴里
6701600,將軍區,6701600-012,三吉里
6701600,將軍區,6701600-013,玉山里
6701600,將軍區,6701600-014,廣山里
6701600,將軍區,6701600-015,長沙里
6701600,將軍區,6701600-016,平沙里
6701600,將軍區,6701600-017,鯤鯓里
6701600,將軍區,6701600-018,鯤溟里
6701700,北門區,6701700-001,保吉里
6701700,北門區,6701700-002,雙春里
6701700,北門區,6701700-003,東壁里
6701700,北門區,6701700-004,鯤江里
6701700,北門區,6701700-005,北門里
6701700,北門區,6701700-006,錦湖里
6701700,北門區,6701700-007,三光里
6701700,北門區,6701700-008,仁里里
6701700,北門區,6701700-009,玉港里
6701700,北門區,6701700-010,中樞里
6701700,北門區,6701700-011,慈安里
6701700,北門區,6701700-012,永華里
6701700,北門區,6701700-013,永隆里
6701800,新化區,6701800-001,武安里
6701800,新化區,6701800-002,東榮里
6701800,新化區,6701800-003,護國里
6701800,新化區,6701800-004,太平里
6701800,新化區,6701800-005,中央里
6701800,新化區,6701800-006,觀音里
6701800,新化區,6701800-007,竹林里
6701800,新化區,6701800-008,清水里
6701800,新化區,6701800-009,協興里
6701800,新化區,6701800-010,唪口里
6701800,新化區,6701800-011,北勢里
6701800,新化區,6701800-012,豐榮里
6701800,新化區,6701800-013,全興里
6701800,新化區,6701800-014,崙頂里
6701800,新化區,6701800-015,知義里
6701800,新化區,6701800-016,山脚里
6701800,新化區,6701800-017,大坑里
6701800,新化區,6701800-018,拔里
6701800,新化區,6701800-019,羊林里
6701800,新化區,6701800-020,礁坑里
6701900,善化區,6701900-001,東關里
6701900,善化區,6701900-002,坐駕里
6701900,善化區,6701900-003,光文里
6701900,善化區,6701900-004,文昌里
6701900,善化區,6701900-005,南關里
6701900,善化區,6701900-006,西關里
6701900,善化區,6701900-007,北關里
6701900,善化區,6701900-008,文正里
6701900,善化區,6701900-009,胡家里
6701900,善化區,6701900-010,胡厝里
6701900,善化區,6701900-011,什乃里
6701900,善化區,6701900-012,溪美里
6701900,善化區,6701900-013,六分里
6701900,善化區,6701900-014,六德里
6701900,善化區,6701900-015,田寮里
6701900,善化區,6701900-016,東隆里
6701900,善化區,6701900-017,東昌里
6701900,善化區,6701900-018,牛庄里
6701900,善化區,6701900-019,嘉北里
6701900,善化區,6701900-020,嘉南里
6701900,善化區,6701900-021,小新里
6702000,新市區,6702000-001,新市里
6702000,新市區,6702000-002,新和里
6702000,新市區,6702000-003,社內里
6702000,新市區,6702000-004,大洲里
6702000,新市區,6702000-005,豐華里
6702000,新市區,6702000-006,三舍里
6702000,新市區,6702000-007,大營里
6702000,新市區,6702000-008,大社里
6702000,新市區,6702000-009,潭頂里
6702000,新市區,6702000-010,港墘里
6702000,新市區,6702000-011,永就里
6702100,安定區,6702100-001,蘇林里
6702100,安定區,6702100-002,蘇厝里
6702100,安定區,6702100-003,安定里
6702100,安定區,6702100-004,安加里
6702100,安定區,6702100-005,保西里
6702100,安定區,6702100-006,港尾里
6702100,安定區,6702100-007,中榮里
6702100,安定區,6702100-008,港口里
6702100,安定區,6702100-009,港南里
6702100,安定區,6702100-010,大同里
6702100,安定區,6702100-011,六嘉里
6702100,安定區,6702100-012,中沙里
6702100,安定區,6702100-013,新吉里
6702100,安定區,6702100-014,海寮里
6702100,安定區,6702100-015,管寮里
6702100,安定區,6702100-016,南安里
6702200,山上區,6702200-001,明和里
6702200,山上區,6702200-002,南洲里
6702200,山上區,6702200-003,山上里
6702200,山上區,6702200-004,新莊里
6702200,山上區,6702200-005,玉峯里
6702200,山上區,6702200-006,平陽里
6702200,山上區,6702200-007,豐德里
6702300,玉井區,6702300-001,玉井里
6702300,玉井區,6702300-002,玉田里
6702300,玉井區,6702300-003,中正里
6702300,玉井區,6702300-004,竹圍里
6702300,玉井區,6702300-005,沙田里
6702300,玉井區,6702300-006,三埔里
6702300,玉井區,6702300-007,三和里
6702300,玉井區,6702300-008,望明里
6702300,玉井區,6702300-009,層林里
6702300,玉井區,6702300-010,豐里里
6702400,楠西區,6702400-001,楠西里
6702400,楠西區,6702400-002,灣丘里
6702400,楠西區,6702400-003,密枝里
6702400,楠西區,6702400-004,照興里
6702400,楠西區,6702400-005,鹿田里
6702400,楠西區,6702400-006,龜丹里
6702400,楠西區,6702400-007,東勢里
6702500,南化區,6702500-001,南化里
6702500,南化區,6702500-002,小崙里
6702500,南化區,6702500-003,中坑里
6702500,南化區,6702500-004,北平里
6702500,南化區,6702500-005,東和里
6702500,南化區,6702500-006,西埔里
6702500,南化區,6702500-007,北寮里
6702500,南化區,6702500-008,玉山里
6702500,南化區,6702500-009,關山里
6702600,左鎮區,6702600-001,光和里
6702600,左鎮區,6702600-002,榮和里
6702600,左鎮區,6702600-003,左鎮里
6702600,左鎮區,6702600-004,中正里
6702600,左鎮區,6702600-005,睦光里
6702600,左鎮區,6702600-006,內庄里
6702600,左鎮區,6702600-007,澄山里
6702600,左鎮區,6702600-008,岡林里
6702600,左鎮區,6702600-009,草山里
6702600,左鎮區,6702600-010,二寮里
6702700,仁德區,6702700-001,太子里
6702700,仁德區,6702700-002,土庫里
6702700,仁德區,6702700-003,一甲里
6702700,仁德區,6702700-004,仁德里
6702700,仁德區,6702700-005,仁義里
6702700,仁德區,6702700-006,新田里
6702700,仁德區,6702700-007,後壁里
6702700,仁德區,6702700-008,上崙里
6702700,仁德區,6702700-009,田厝里
6702700,仁德區,6702700-010,三甲里
6702700,仁德區,6702700-011,保安里
6702700,仁德區,6702700-012,成功里
6702700,仁德區,6702700-013,仁和里
6702700,仁德區,6702700-014,仁愛里
6702700,仁德區,6702700-015,二行里
6702700,仁德區,6702700-016,大甲里
6702700,仁德區,6702700-017,中洲里
6702700,仁德區,6702700-018,中生里
6702800,歸仁區,6702800-001,南保里
6702800,歸仁區,6702800-002,六甲里
6702800,歸仁區,6702800-003,歸仁里
6702800,歸仁區,6702800-004,後市里
6702800,歸仁區,6702800-005,辜厝里
6702800,歸仁區,6702800-006,許厝里
6702800,歸仁區,6702800-007,看西里
6702800,歸仁區,6702800-008,看東里
6702800,歸仁區,6702800-009,崙頂里
6702800,歸仁區,6702800-010,沙崙里
6702800,歸仁區,6702800-011,大潭里
6702800,歸仁區,6702800-012,武東里
6702800,歸仁區,6702800-013,八甲里
6702800,歸仁區,6702800-014,七甲里
6702800,歸仁區,6702800-015,媽廟里
6702800,歸仁區,6702800-016,西埔里
6702800,歸仁區,6702800-017,大廟里
6702800,歸仁區,6702800-018,南興里
6702800,歸仁區,6702800-019,新厝里
6702800,歸仁區,6702800-020,歸南里
6702800,歸仁區,6702800-021,文化里
6702900,關廟區,6702900-001,關廟里
