﻿區域別,里數現有門牌,里數戶籍登記,鄰數現有門牌,鄰數戶籍登記,戶數,人口數總計,人口數男,人口數女
臺南市,649,649,9661,9655,718865,1856642,922666,933976
新營區,23,23,412,412,29926,75023,36909,38114
鹽水區,13,13,146,146,10177,24368,12670,11698
白河區,21,21,213,213,10590,26198,13647,12551
柳營區,13,13,146,146,8071,20442,10623,9819
後壁區,14,14,142,142,8687,21789,11259,10530
東山區,16,16,193,193,8077,19327,10303,9024
麻豆區,20,20,239,239,16311,42980,21753,21227
下營區,12,12,167,167,9356,22623,11690,10933
六甲區,11,11,155,155,8093,21321,11025,10296
官田區,10,10,139,139,8173,20841,10612,10229
大內區,10,10,85,85,3649,8816,4756,4060
佳里區,16,16,257,257,21713,58193,28722,29471
學甲區,13,13,154,154,9846,24722,12668,12054
西港區,12,12,152,152,8868,24746,12464,12282
七股區,18,18,154,154,7923,21441,11096,10345
將軍區,12,12,124,124,7113,18530,9452,9078
北門區,10,10,85,85,4026,10142,5097,5045
新化區,16,16,185,185,15002,42587,21586,21001
善化區,20,20,243,243,20241,51952,26086,25866
新市區,11,11,174,174,13727,37551,18870,18681
安定區,13,13,144,144,10740,29961,15370,14591
山上區,7,7,64,64,2729,6978,3685,3293
玉井區,10,10,103,103,5197,13146,6793,6353
楠西區,7,7,77,77,3456,8823,4644,4179
南化區,9,9,65,65,2787,8079,4350,3729
左鎮區,10,10,67,67,1861,4317,2466,1851
仁德區,16,16,303,301,29948,77111,38757,38354
歸仁區,21,21,312,312,24004,68230,34393,33837
關廟區,15,15,209,209,11686,33386,17127,16259
龍崎區,8,8,53,53,1480,3579,1948,1631
永康區,43,43,1095,1094,89966,234772,114994,119778
東區,45,45,877,875,73591,181079,86259,94820
南區,37,37,624,624,48027,121259,59565,61694
北區,33,33,557,557,51959,126332,61072,65260
安南區,51,51,856,856,70454,200032,100319,99713
安平區,13,13,298,297,28491,68465,32308,36157
中西區,20,20,392,392,32920,77501,37328,40173
