﻿區域別,里數現有門牌,里數戶籍登記,鄰數現有門牌,鄰數戶籍登記,戶數,人口數總計,人口數男,人口數女
臺南市,649,649,9661,9655,726638,1859776,923234,936542
新營區,23,23,412,412,30115,74864,36776,38088
鹽水區,13,13,146,146,10193,24286,12619,11667
白河區,21,21,213,213,10544,25900,13497,12403
柳營區,13,13,146,146,8082,20319,10586,9733
後壁區,14,14,142,142,8710,21654,11174,10480
東山區,16,16,193,193,8048,19171,10214,8957
麻豆區,20,20,239,239,16524,43065,21794,21271
下營區,12,12,167,167,9361,22441,11582,10859
六甲區,11,11,155,155,8124,21216,10935,10281
官田區,10,10,139,139,8255,20851,10642,10209
大內區,10,10,85,85,3631,8732,4690,4042
佳里區,16,16,257,257,21917,58220,28704,29516
學甲區,13,13,154,154,9897,24715,12655,12060
西港區,12,12,152,152,9077,24955,12559,12396
七股區,18,18,154,154,7935,21236,10995,10241
將軍區,12,12,124,124,7064,18299,9327,8972
北門區,10,10,85,85,4005,10013,5040,4973
新化區,16,16,185,185,15331,42840,21673,21167
善化區,20,20,243,243,20653,52404,26271,26133
新市區,11,11,174,174,13899,37584,18858,18726
安定區,13,13,144,144,10887,29907,15350,14557
山上區,7,7,64,64,2768,7037,3706,3331
玉井區,10,10,103,103,5189,13059,6731,6328
楠西區,7,7,77,77,3437,8718,4597,4121
南化區,9,9,65,65,2779,8004,4294,3710
左鎮區,10,10,67,67,1837,4240,2422,1818
仁德區,16,16,303,301,30270,77347,38811,38536
歸仁區,21,21,312,312,24478,68652,34585,34067
關廟區,15,15,209,209,11793,33294,17047,16247
龍崎區,8,8,53,53,1468,3475,1888,1587
永康區,43,43,1095,1094,90985,235002,114988,120014
東區,45,45,877,875,74315,181877,86480,95397
南區,37,37,624,624,48367,121168,59437,61731
北區,33,33,557,557,52572,126523,61184,65339
安南區,51,51,856,856,71871,201669,100996,100673
安平區,13,13,298,297,28920,68966,32550,36416
中西區,20,20,392,392,33337,78073,37577,40496
