﻿區域別,里數現有門牌,里數戶籍登記,鄰數現有門牌,鄰數戶籍登記,戶數,人口數總計,人口數男,人口數女
臺南市,649,649,9661,9655,724106,1859728,923573,936155
新營區,23,23,412,412,30035,74952,36870,38082
鹽水區,13,13,146,146,10173,24294,12626,11668
白河區,21,21,213,213,10566,25970,13541,12429
柳營區,13,13,146,146,8086,20368,10604,9764
後壁區,14,14,142,142,8718,21703,11203,10500
東山區,16,16,193,193,8070,19257,10257,9000
麻豆區,20,20,239,239,16449,43060,21789,21271
下營區,12,12,167,167,9360,22529,11631,10898
六甲區,11,11,155,155,8108,21257,10975,10282
官田區,10,10,139,139,8237,20849,10638,10211
大內區,10,10,85,85,3640,8778,4720,4058
佳里區,16,16,257,257,21865,58269,28760,29509
學甲區,13,13,154,154,9893,24747,12688,12059
西港區,12,12,152,152,9022,24890,12528,12362
七股區,18,18,154,154,7926,21300,11021,10279
將軍區,12,12,124,124,7082,18375,9373,9002
北門區,10,10,85,85,4012,10081,5079,5002
新化區,16,16,185,185,15208,42768,21642,21126
善化區,20,20,243,243,20518,52256,26204,26052
新市區,11,11,174,174,13816,37584,18876,18708
安定區,13,13,144,144,10860,29998,15386,14612
山上區,7,7,64,64,2756,7028,3701,3327
玉井區,10,10,103,103,5188,13111,6764,6347
楠西區,7,7,77,77,3445,8757,4615,4142
南化區,9,9,65,65,2788,8032,4318,3714
左鎮區,10,10,67,67,1845,4270,2440,1830
仁德區,16,16,303,301,30132,77279,38795,38484
歸仁區,21,21,312,312,24346,68560,34538,34022
關廟區,15,15,209,209,11752,33321,17073,16248
龍崎區,8,8,53,53,1471,3510,1905,1605
永康區,43,43,1095,1094,90688,235220,115115,120105
東區,45,45,877,875,74047,181646,86420,95226
南區,37,37,624,624,48267,121216,59502,61714
北區,33,33,557,557,52276,126428,61129,65299
安南區,51,51,856,856,71404,201195,100814,100381
安平區,13,13,298,297,28821,68877,32498,36379
中西區,20,20,392,392,33236,77993,37535,40458
