﻿區域別,里數現有門牌,里數戶籍登記,鄰數現有門牌,鄰數戶籍登記,戶數,人口數總計,人口數男,人口數女
臺南市,649,649,9661,9655,722358,1859229,923363,935866
新營區,23,23,412,412,29994,75006,36874,38132
鹽水區,13,13,146,146,10172,24328,12652,11676
白河區,21,21,213,213,10577,26041,13579,12462
柳營區,13,13,146,146,8077,20383,10598,9785
後壁區,14,14,142,142,8708,21709,11205,10504
東山區,16,16,193,193,8070,19289,10268,9021
麻豆區,20,20,239,239,16379,43000,21745,21255
下營區,12,12,167,167,9355,22550,11638,10912
六甲區,11,11,155,155,8098,21276,10990,10286
官田區,10,10,139,139,8222,20868,10641,10227
大內區,10,10,85,85,3640,8789,4729,4060
佳里區,16,16,257,257,21816,58273,28771,29502
學甲區,13,13,154,154,9878,24731,12688,12043
西港區,12,12,152,152,8980,24837,12502,12335
七股區,18,18,154,154,7910,21285,11003,10282
將軍區,12,12,124,124,7088,18424,9393,9031
北門區,10,10,85,85,4015,10099,5082,5017
新化區,16,16,185,185,15078,42573,21549,21024
善化區,20,20,243,243,20428,52187,26173,26014
新市區,11,11,174,174,13775,37604,18885,18719
安定區,13,13,144,144,10820,30018,15395,14623
山上區,7,7,64,64,2746,6997,3693,3304
玉井區,10,10,103,103,5188,13123,6772,6351
楠西區,7,7,77,77,3443,8761,4616,4145
南化區,9,9,65,65,2791,8048,4322,3726
左鎮區,10,10,67,67,1847,4279,2442,1837
仁德區,16,16,303,301,30069,77248,38788,38460
歸仁區,21,21,312,312,24270,68575,34562,34013
關廟區,15,15,209,209,11729,33339,17094,16245
龍崎區,8,8,53,53,1473,3539,1918,1621
永康區,43,43,1095,1094,90441,235110,115065,120045
東區,45,45,877,875,73887,181567,86434,95133
南區,37,37,624,624,48199,121250,59519,61731
北區,33,33,557,557,52146,126397,61128,65269
安南區,51,51,856,856,71151,200961,100688,100273
安平區,13,13,298,297,28733,68763,32428,36335
中西區,20,20,392,392,33165,78002,37534,40468
