﻿區域別,里數現有門牌,里數戶籍登記,鄰數現有門牌,鄰數戶籍登記,戶數,人口數總計,人口數男,人口數女
臺南市,649,649,9661,9655,725808,1859842,923559,936283
新營區,23,23,412,412,30091,74914,36822,38092
鹽水區,13,13,146,146,10184,24282,12619,11663
白河區,21,21,213,213,10560,25945,13526,12419
柳營區,13,13,146,146,8084,20353,10600,9753
後壁區,14,14,142,142,8720,21678,11188,10490
東山區,16,16,193,193,8074,19230,10249,8981
麻豆區,20,20,239,239,16508,43079,21804,21275
下營區,12,12,167,167,9356,22478,11604,10874
六甲區,11,11,155,155,8126,21250,10964,10286
官田區,10,10,139,139,8238,20832,10635,10197
大內區,10,10,85,85,3636,8765,4709,4056
佳里區,16,16,257,257,21881,58192,28721,29471
學甲區,13,13,154,154,9895,24737,12667,12070
西港區,12,12,152,152,9055,24950,12550,12400
七股區,18,18,154,154,7940,21320,11025,10295
將軍區,12,12,124,124,7074,18345,9355,8990
北門區,10,10,85,85,4011,10056,5067,4989
新化區,16,16,185,185,15317,42854,21685,21169
善化區,20,20,243,243,20590,52344,26242,26102
新市區,11,11,174,174,13852,37568,18869,18699
安定區,13,13,144,144,10880,29940,15362,14578
山上區,7,7,64,64,2763,7042,3707,3335
玉井區,10,10,103,103,5193,13099,6752,6347
楠西區,7,7,77,77,3442,8746,4606,4140
南化區,9,9,65,65,2790,8025,4313,3712
左鎮區,10,10,67,67,1846,4260,2435,1825
仁德區,16,16,303,301,30218,77357,38839,38518
歸仁區,21,21,312,312,24415,68581,34553,34028
關廟區,15,15,209,209,11777,33325,17074,16251
龍崎區,8,8,53,53,1468,3489,1892,1597
永康區,43,43,1095,1094,90886,235114,115076,120038
東區,45,45,877,875,74184,181607,86378,95229
南區,37,37,624,624,48380,121199,59479,61720
北區,33,33,557,557,52498,126535,61190,65345
安南區,51,51,856,856,71658,201399,100911,100488
安平區,13,13,298,297,28913,68950,32543,36407
中西區,20,20,392,392,33305,78002,37548,40454
