﻿區域別,里數現有門牌,里數戶籍登記,鄰數現有門牌,鄰數戶籍登記,戶數,人口數總計,人口數男,人口數女
臺南市,649,649,9661,9655,717902,1855655,922334,933321
新營區,23,23,412,412,29896,75005,36914,38091
鹽水區,13,13,146,146,10168,24397,12680,11717
白河區,21,21,213,213,10596,26224,13670,12554
柳營區,13,13,146,146,8057,20432,10618,9814
後壁區,14,14,142,142,8691,21823,11283,10540
東山區,16,16,193,193,8082,19348,10326,9022
麻豆區,20,20,239,239,16291,42966,21745,21221
下營區,12,12,167,167,9354,22638,11698,10940
六甲區,11,11,155,155,8074,21323,11028,10295
官田區,10,10,139,139,8176,20849,10619,10230
大內區,10,10,85,85,3655,8831,4769,4062
佳里區,16,16,257,257,21691,58185,28721,29464
學甲區,13,13,154,154,9839,24745,12688,12057
西港區,12,12,152,152,8852,24727,12464,12263
七股區,18,18,154,154,7918,21458,11093,10365
將軍區,12,12,124,124,7123,18564,9464,9100
北門區,10,10,85,85,4034,10162,5108,5054
新化區,16,16,185,185,14983,42542,21576,20966
善化區,20,20,243,243,20214,51921,26083,25838
新市區,11,11,174,174,13703,37530,18851,18679
安定區,13,13,144,144,10715,29916,15347,14569
山上區,7,7,64,64,2731,6966,3677,3289
玉井區,10,10,103,103,5190,13135,6784,6351
楠西區,7,7,77,77,3461,8838,4651,4187
南化區,9,9,65,65,2787,8100,4357,3743
左鎮區,10,10,67,67,1863,4338,2474,1864
仁德區,16,16,303,301,29915,77028,38698,38330
歸仁區,21,21,312,312,23957,68175,34363,33812
關廟區,15,15,209,209,11680,33410,17147,16263
龍崎區,8,8,53,53,1483,3595,1952,1643
永康區,43,43,1095,1094,89811,234467,114822,119645
東區,45,45,877,875,73450,180870,86238,94632
南區,37,37,624,624,47965,121229,59555,61674
北區,33,33,557,557,51875,126267,61068,65199
安南區,51,51,856,856,70273,199741,100180,99561
安平區,13,13,298,297,28426,68359,32271,36088
中西區,20,20,392,392,32923,77551,37352,40199
