﻿區域別,里數現有門牌,里數戶籍登記,鄰數現有門牌,鄰數戶籍登記,戶數,人口數總計,人口數男,人口數女
臺南市,649,649,9661,9655,717012,1855092,922171,932921
新營區,23,23,412,412,29860,74972,36899,38073
鹽水區,13,13,146,146,10176,24447,12706,11741
白河區,21,21,213,213,10602,26210,13667,12543
柳營區,13,13,146,146,8034,20408,10615,9793
後壁區,14,14,142,142,8709,21865,11302,10563
東山區,16,16,193,193,8090,19367,10333,9034
麻豆區,20,20,239,239,16272,42956,21744,21212
下營區,12,12,167,167,9348,22649,11704,10945
六甲區,11,11,155,155,8080,21360,11055,10305
官田區,10,10,139,139,8168,20866,10633,10233
大內區,10,10,85,85,3662,8845,4771,4074
佳里區,16,16,257,257,21664,58124,28700,29424
學甲區,13,13,154,154,9838,24747,12682,12065
西港區,12,12,152,152,8838,24716,12451,12265
七股區,18,18,154,154,7916,21471,11085,10386
將軍區,12,12,124,124,7128,18620,9486,9134
北門區,10,10,85,85,4042,10191,5122,5069
新化區,16,16,185,185,14965,42523,21564,20959
善化區,20,20,243,243,20184,51900,26078,25822
新市區,11,11,174,174,13682,37534,18846,18688
安定區,13,13,144,144,10691,29914,15360,14554
山上區,7,7,64,64,2738,6975,3682,3293
玉井區,10,10,103,103,5186,13121,6782,6339
楠西區,7,7,77,77,3465,8853,4654,4199
南化區,9,9,65,65,2789,8112,4362,3750
左鎮區,10,10,67,67,1865,4361,2482,1879
仁德區,16,16,303,301,29865,76983,38666,38317
歸仁區,21,21,312,312,23921,68140,34344,33796
關廟區,15,15,209,209,11682,33436,17155,16281
龍崎區,8,8,53,53,1487,3600,1957,1643
永康區,43,43,1095,1094,89686,234351,114795,119556
東區,45,45,877,875,73421,180828,86236,94592
南區,37,37,624,624,47884,121212,59536,61676
北區,33,33,557,557,51821,126229,61047,65182
安南區,51,51,856,856,70076,199502,100106,99396
安平區,13,13,298,297,28312,68217,32227,35990
中西區,20,20,392,392,32865,77487,37337,40150
