﻿區域別,里數現有門牌,里數戶籍登記,鄰數現有門牌,鄰數戶籍登記,戶數,人口數總計,人口數男,人口數女
臺南市,649,649,9661,9655,726137,1859927,923472,936455
新營區,23,23,412,412,30110,74901,36788,38113
鹽水區,13,13,146,146,10191,24298,12629,11669
白河區,21,21,213,213,10554,25931,13514,12417
柳營區,13,13,146,146,8085,20346,10599,9747
後壁區,14,14,142,142,8717,21671,11188,10483
東山區,16,16,193,193,8060,19209,10234,8975
麻豆區,20,20,239,239,16506,43077,21802,21275
下營區,12,12,167,167,9358,22482,11600,10882
六甲區,11,11,155,155,8126,21225,10940,10285
官田區,10,10,139,139,8247,20834,10636,10198
大內區,10,10,85,85,3633,8757,4704,4053
佳里區,16,16,257,257,21893,58187,28697,29490
學甲區,13,13,154,154,9887,24739,12674,12065
西港區,12,12,152,152,9068,24950,12555,12395
七股區,18,18,154,154,7936,21279,11014,10265
將軍區,12,12,124,124,7066,18326,9344,8982
北門區,10,10,85,85,4012,10029,5054,4975
新化區,16,16,185,185,15332,42860,21684,21176
善化區,20,20,243,243,20620,52379,26261,26118
新市區,11,11,174,174,13853,37565,18870,18695
安定區,13,13,144,144,10871,29919,15357,14562
山上區,7,7,64,64,2765,7041,3703,3338
玉井區,10,10,103,103,5191,13076,6741,6335
楠西區,7,7,77,77,3446,8724,4599,4125
南化區,9,9,65,65,2782,8013,4299,3714
左鎮區,10,10,67,67,1842,4246,2428,1818
仁德區,16,16,303,301,30232,77341,38831,38510
歸仁區,21,21,312,312,24437,68599,34568,34031
關廟區,15,15,209,209,11784,33300,17052,16248
龍崎區,8,8,53,53,1468,3480,1889,1591
永康區,43,43,1095,1094,90949,235151,115068,120083
東區,45,45,877,875,74243,181708,86414,95294
南區,37,37,624,624,48380,121214,59474,61740
北區,33,33,557,557,52534,126529,61193,65336
安南區,51,51,856,856,71717,201479,100914,100565
安平區,13,13,298,297,28916,68979,32570,36409
中西區,20,20,392,392,33326,78083,37585,40498
