﻿區域別,里數現有門牌,里數戶籍登記,鄰數現有門牌,鄰數戶籍登記,戶數,人口數總計,人口數男,人口數女
臺南市,649,649,9661,9655,727137,1859946,923152,936794
新營區,23,23,412,412,30126,74921,36803,38118
鹽水區,13,13,146,146,10182,24251,12596,11655
白河區,21,21,213,213,10541,25862,13470,12392
柳營區,13,13,146,146,8091,20306,10582,9724
後壁區,14,14,142,142,8705,21616,11155,10461
東山區,16,16,193,193,8057,19156,10203,8953
麻豆區,20,20,239,239,16522,43056,21784,21272
下營區,12,12,167,167,9360,22420,11570,10850
六甲區,11,11,155,155,8128,21189,10929,10260
官田區,10,10,139,139,8255,20835,10634,10201
大內區,10,10,85,85,3628,8728,4683,4045
佳里區,16,16,257,257,21944,58232,28707,29525
學甲區,13,13,154,154,9884,24672,12635,12037
西港區,12,12,152,152,9091,24990,12589,12401
七股區,18,18,154,154,7933,21210,10977,10233
將軍區,12,12,124,124,7056,18255,9308,8947
北門區,10,10,85,85,4006,9994,5032,4962
新化區,16,16,185,185,15332,42793,21647,21146
善化區,20,20,243,243,20692,52444,26296,26148
新市區,11,11,174,174,13930,37624,18886,18738
安定區,13,13,144,144,10894,29926,15357,14569
山上區,7,7,64,64,2760,7018,3694,3324
玉井區,10,10,103,103,5191,13043,6724,6319
楠西區,7,7,77,77,3433,8708,4591,4117
南化區,9,9,65,65,2779,7996,4288,3708
左鎮區,10,10,67,67,1839,4231,2416,1815
仁德區,16,16,303,301,30277,77312,38801,38511
歸仁區,21,21,312,312,24512,68726,34611,34115
關廟區,15,15,209,209,11795,33270,17028,16242
龍崎區,8,8,53,53,1467,3476,1891,1585
永康區,43,43,1095,1094,91046,234953,114958,119995
東區,45,45,877,875,74390,182034,86521,95513
南區,37,37,624,624,48386,121189,59448,61741
北區,33,33,557,557,52628,126575,61176,65399
安南區,51,51,856,856,72005,201824,101052,100772
安平區,13,13,298,297,28924,69015,32539,36476
中西區,20,20,392,392,33348,78096,37571,40525
