﻿區域別,里數現有門牌,里數戶籍登記,鄰數現有門牌,鄰數戶籍登記,戶數,人口數總計,人口數男,人口數女
臺南市,649,649,9661,9655,721550,1858444,923093,935351
新營區,23,23,412,412,29996,75035,36895,38140
鹽水區,13,13,146,146,10181,24346,12660,11686
白河區,21,21,213,213,10582,26075,13598,12477
柳營區,13,13,146,146,8088,20398,10605,9793
後壁區,14,14,142,142,8700,21736,11220,10516
東山區,16,16,193,193,8067,19306,10282,9024
麻豆區,20,20,239,239,16365,42986,21738,21248
下營區,12,12,167,167,9355,22570,11645,10925
六甲區,11,11,155,155,8096,21289,10994,10295
官田區,10,10,139,139,8211,20845,10623,10222
大內區,10,10,85,85,3645,8799,4735,4064
佳里區,16,16,257,257,21797,58254,28766,29488
學甲區,13,13,154,154,9868,24728,12682,12046
西港區,12,12,152,152,8956,24811,12488,12323
七股區,18,18,154,154,7920,21325,11032,10293
將軍區,12,12,124,124,7096,18466,9421,9045
北門區,10,10,85,85,4018,10097,5082,5015
新化區,16,16,185,185,15067,42616,21583,21033
善化區,20,20,243,243,20383,52124,26151,25973
新市區,11,11,174,174,13760,37574,18876,18698
安定區,13,13,144,144,10794,29983,15371,14612
山上區,7,7,64,64,2744,6995,3692,3303
玉井區,10,10,103,103,5195,13130,6782,6348
楠西區,7,7,77,77,3450,8785,4625,4160
南化區,9,9,65,65,2790,8055,4324,3731
左鎮區,10,10,67,67,1846,4282,2443,1839
仁德區,16,16,303,301,30037,77199,38773,38426
歸仁區,21,21,312,312,24221,68522,34521,34001
關廟區,15,15,209,209,11722,33350,17099,16251
龍崎區,8,8,53,53,1475,3549,1927,1622
永康區,43,43,1095,1094,90292,234939,115009,119930
東區,45,45,877,875,73807,181407,86382,95025
南區,37,37,624,624,48150,121213,59497,61716
北區,33,33,557,557,52080,126333,61075,65258
安南區,51,51,856,856,71008,200776,100616,100160
安平區,13,13,298,297,28685,68714,32413,36301
中西區,20,20,392,392,33103,77832,37468,40364
