﻿區域別,里數現有門牌,里數戶籍登記,鄰數現有門牌,鄰數戶籍登記,戶數,人口數總計,人口數男,人口數女
臺南市,649,649,9661,9655,720680,1858092,923124,934968
新營區,23,23,412,412,29978,75073,36915,38158
鹽水區,13,13,146,146,10189,24367,12679,11688
白河區,21,21,213,213,10580,26139,13629,12510
柳營區,13,13,146,146,8082,20413,10612,9801
後壁區,14,14,142,142,8693,21760,11240,10520
東山區,16,16,193,193,8070,19327,10286,9041
麻豆區,20,20,239,239,16344,43003,21753,21250
下營區,12,12,167,167,9361,22588,11661,10927
六甲區,11,11,155,155,8085,21300,11006,10294
官田區,10,10,139,139,8196,20848,10623,10225
大內區,10,10,85,85,3642,8803,4738,4065
佳里區,16,16,257,257,21767,58273,28768,29505
學甲區,13,13,154,154,9861,24730,12686,12044
西港區,12,12,152,152,8920,24792,12476,12316
七股區,18,18,154,154,7920,21360,11050,10310
將軍區,12,12,124,124,7103,18500,9434,9066
北門區,10,10,85,85,4019,10111,5087,5024
新化區,16,16,185,185,15043,42631,21585,21046
善化區,20,20,243,243,20347,52048,26131,25917
新市區,11,11,174,174,13746,37554,18875,18679
安定區,13,13,144,144,10788,29989,15379,14610
山上區,7,7,64,64,2737,6967,3679,3288
玉井區,10,10,103,103,5194,13128,6784,6344
楠西區,7,7,77,77,3454,8798,4632,4166
南化區,9,9,65,65,2790,8076,4343,3733
左鎮區,10,10,67,67,1847,4291,2446,1845
仁德區,16,16,303,301,30010,77175,38768,38407
歸仁區,21,21,312,312,24156,68439,34476,33963
關廟區,15,15,209,209,11708,33359,17117,16242
龍崎區,8,8,53,53,1477,3562,1937,1625
永康區,43,43,1095,1094,90159,234879,115014,119865
東區,45,45,877,875,73752,181327,86361,94966
南區,37,37,624,624,48094,121232,59524,61708
北區,33,33,557,557,52065,126348,61098,65250
安南區,51,51,856,856,70838,200600,100545,100055
安平區,13,13,298,297,28639,68629,32388,36241
中西區,20,20,392,392,33026,77673,37399,40274
