DIST,VILL,restaurant_num,Attractions_num,manhole_den,pop_den,market_num,vocational_num,elementary_school_count,high_school_count,junior_high_school_count,kindergarten_count
南區,新昌里,1,1,0.000351639,18746.28825,1,0,0,0,0,0
南區,新生里,3,0,0,14474.08065,0,0,0,0,0,0
南區,新興里,1,0,0.000325608,15350.10647,0,0,1,0,0,2
南區,明亮里,0,0,0.000213476,17400.47226,0,0,0,0,0,3
南區,明德里,2,1,0.000049,2259.209236,0,2,1,1,0,0
南區,明興里,1,0,0.000095,20572.43082,1,0,0,0,0,2
南區,松安里,4,1,0,6410.13283,0,0,0,0,0,1
南區,永寧里,4,0,0,6136.68697,1,0,0,0,0,0
南區,田寮里,0,0,0.000255856,16950.48687,1,0,0,0,0,2
南區,省躬里,0,3,0.0000408,2788.150929,0,0,1,1,0,1
南區,竹溪里,2,1,0.0000958,4192.3498,0,0,0,0,0,0
南區,興農里,2,0,0.0000711,3002.654959,0,0,0,0,0,0
南區,郡南里,0,0,0.0000986,13147.86084,0,0,0,0,0,0
南區,金華里,2,0,0.000342869,19704.27515,0,0,0,0,0,1
南區,開南里,3,0,0.000474481,24435.78814,0,0,1,0,0,1
南區,鯤鯓里,0,2,0,708.2926923,0,0,1,0,0,1
南區,鹽埕里,1,4,0.000211357,11576.0972,0,0,1,0,0,2
安南區,佃東里,0,1,0,945.5587044,0,0,0,0,0,0
安南區,佃西里,0,0,0.00000796,1324.627777,0,0,1,0,0,1
安南區,公塭里,0,0,0,5297.335489,0,0,0,0,0,0
安南區,公親里,0,0,0,1777.693613,0,0,0,0,0,0
安南區,南興里,1,0,0,496.0669646,0,0,1,0,0,0
安南區,原佃里,0,0,0,1433.024526,0,0,0,0,0,0
安南區,四草里,0,4,0,346.7196225,0,0,1,0,0,1
安南區,國安里,1,0,0.000203745,6374.954157,0,0,1,0,1,0
安南區,城中里,0,0,0,1598.969611,0,0,0,0,0,2
安南區,城北里,1,0,0,1745.369157,1,0,0,0,0,1
安南區,城南里,0,1,0,607.4759213,0,0,0,0,0,0
安南區,城東里,0,1,0,1934.983295,0,0,1,0,0,1
安南區,城西里,0,0,0,100.6113027,0,0,0,0,0,0
安南區,塩田里,0,1,0,221.7678875,0,0,0,0,0,0
安南區,塭南里,0,0,0,5297.335489,0,0,0,0,0,0
安南區,大安里,0,0,0.0000354,7726.320689,0,0,0,0,0,1
安南區,媽祖宮里,0,3,0,253.0875771,0,0,0,1,0,0
安南區,學東里,0,0,0.00000695,591.0542217,0,0,1,0,0,1
安南區,安和里,0,0,0,4879.273349,0,0,0,0,0,0
安南區,安富里,0,0,0,14153.83441,0,0,0,0,1,1
安南區,安慶里,1,0,0.00000525,9523.246496,0,0,0,1,1,1
安南區,安東里,1,0,0,4469.557018,0,0,0,0,0,0
安南區,安西里,0,0,0.0000796,8196.998546,0,0,0,0,0,0
安南區,安順里,0,0,0,5495.165825,0,0,1,0,1,1
安南區,州北里,0,0,0,6958.05692,0,0,1,0,1,3
安南區,州南里,4,0,0.0000366,3527.831465,0,0,0,1,0,1
安南區,布袋里,0,1,0.0000342,1196.852321,0,0,0,0,0,0
安南區,幸福里,2,0,0,17895.15535,1,0,0,0,0,1
安南區,新順里,4,1,0.0000137,4895.456327,0,0,0,0,0,1
安南區,東和里,0,1,0.0000345,893.976119,0,0,0,0,0,0
安南區,梅花里,0,0,0.0000165,4595.774368,0,0,1,0,0,1
安南區,海佃里,1,0,0,18438.89239,0,0,0,0,0,1
安南區,海南里,1,1,0.0000346,543.5721024,0,0,0,0,0,0
安南區,海東里,1,1,0.0000453,8721.764838,0,0,0,0,0,3
安南區,海西里,0,0,0,972.6347357,0,0,0,0,0,1
安南區,淵中里,1,0,0,1694.83316,0,0,1,0,0,2
安南區,淵東里,1,0,0,6137.868873,1,0,0,0,1,1
安南區,淵西里,1,0,0.00000601,2275.380632,0,0,0,0,0,1
安南區,溪北里,1,0,0,15224.02075,1,0,0,0,0,0
安南區,溪墘里,3,0,0,16803.49951,0,0,0,0,0,0
安南區,溪心里,3,1,0,4885.866945,0,0,0,0,0,5
安南區,溪東里,2,0,0.0000405,10665.2344,0,0,1,0,0,0
安南區,溪頂里,0,0,0,16005.25616,0,0,0,0,0,1
安南區,理想里,1,0,0,11340.06092,0,0,0,0,0,1
安南區,砂崙里,0,0,0,570.3270692,0,0,0,0,0,0
安南區,總頭里,0,0,0,1630.115916,0,0,0,0,0,0
安南區,長安里,0,0,0.0000282,4322.89854,0,0,1,0,0,2
安南區,青草里,0,0,0,300.8687431,0,0,1,0,0,1
安南區,頂安里,1,0,0.0000365,6685.265903,1,0,0,0,0,3
安南區,鳳凰里,4,0,0,17790.81272,1,0,0,0,0,0
安南區,鹿耳里,0,1,0,400.8011251,0,0,1,0,0,1
安平區,億載里,1,4,0.000150317,3819.283958,0,0,1,0,0,2
安平區,國平里,8,1,0.000118363,3801.065185,0,0,1,0,0,1
安平區,天妃里,18,6,0.000314729,12843.77067,1,0,1,0,0,2
安平區,平安里,15,0,0.000274366,10250.33198,0,0,0,0,0,5
安平區,平通里,7,1,0.000226963,14970.81782,0,0,0,0,1,1
安平區,建平里,9,0,0.000312939,8636.024245,0,0,0,0,0,2
安平區,怡平里,4,0,0.000339836,17498.02647,0,0,1,0,0,3
安平區,文平里,5,0,0.000256514,10000.70416,0,0,0,1,0,3
安平區,漁光里,1,3,0,333.4444815,0,0,1,0,0,0
安平區,王城里,12,17,0.000127137,4126.763377,0,0,1,0,0,1
安平區,育平里,2,0,0.000311657,30335.69938,0,0,0,0,0,2
安平區,華平里,2,0,0.000216371,17816.71742,0,0,0,0,0,0
安平區,金城里,5,4,0.000085,1110.666823,0,1,0,0,0,0
新營區,忠政里,5,1,0.0000163,12177.88105,0,0,1,0,0,1
新營區,新東里,1,0,0.0000173,9644.408452,0,0,1,1,1,2
新營區,民權里,5,3,0.0000464,8392.922257,0,0,0,0,0,1
新營區,民生里,4,1,0,8130.135973,0,0,1,0,1,1
新營區,永平里,8,1,0.0000772,13102.24013,1,0,0,0,0,0
新營區,王公里,0,1,0.0000126,10244.95989,0,1,0,0,0,0
東區,中西里,8,4,0,11198.22638,0,0,1,0,2,3
東區,仁和里,2,0,0,38285.96231,0,0,0,0,0,0
東區,南聖里,1,0,0.000175487,12722.79192,0,0,0,0,0,1
東區,和平里,3,0,0,12111.46507,0,0,0,0,0,0
東區,圍下里,4,1,0.0000211,11034.31551,0,0,1,0,1,2
東區,大同里,7,0,0.000161344,16822.81191,0,0,0,0,0,0
東區,大學里,10,3,0,1611.932658,1,0,0,0,0,1
東區,大德里,1,0,0,24591.43007,1,0,0,0,0,0
東區,大智里,0,0,0,21467.09061,0,0,0,0,0,0
東區,大福里,0,0,0,14794.40194,0,0,1,0,0,2
東區,富強里,1,1,0,18632.77528,0,0,0,0,0,2
東區,富裕里,1,0,0,27119.32728,0,0,0,0,0,1
東區,小東里,8,0,0,23800.90803,1,0,0,0,0,2
東區,崇信里,4,0,0,29039.97862,0,0,0,0,0,2
東區,崇善里,3,0,0,16904.80635,0,0,0,0,0,1
東區,崇學里,7,0,0,15172.48473,2,0,1,0,0,3
東區,崇德里,10,0,0,19946.13358,0,0,0,0,0,3
東區,崇成里,4,0,0,17372.24538,0,0,0,0,0,1
東區,崇文里,2,0,0,32632.38105,0,0,0,0,0,3
東區,崇明里,2,1,0,4925.651133,0,0,1,0,1,1
東區,崇誨里,1,0,0,32242.83066,0,0,0,0,0,0
東區,後甲里,3,0,0.0000948,3715.89856,1,1,0,0,0,0
東區,復興里,1,0,0.0000556,17452.58195,0,0,1,0,1,1
東區,德光里,3,0,0,16790.16529,0,0,0,0,1,2
東區,德高里,2,1,0.0000521,11644.64536,1,0,1,0,0,1
東區,忠孝里,5,0,0,12122.77534,0,0,0,0,0,3
東區,成大里,25,7,0.0000127,3963.237431,0,0,0,1,0,0
東區,文聖里,2,0,0.000176785,16117.805,0,0,1,0,0,2
東區,新東里,1,0,0,23953.45873,0,0,0,0,0,0
東區,東光里,16,0,0,13444.46121,1,0,1,0,1,4
東區,東安里,5,1,0,19273.74647,0,0,0,0,0,1
東區,東明里,4,0,0,24013.91304,0,0,0,0,0,1
東區,東智里,3,0,0.0000593,5613.754833,0,0,0,0,0,1
東區,東聖里,5,0,0,29068.92597,0,0,0,0,0,1
東區,東門里,4,3,0.0000292,11972.09818,0,0,0,0,0,1
東區,泉南里,3,1,0,22398.49046,0,0,0,0,0,1
東區,自強里,4,0,0,27045.34642,0,0,0,0,0,1
東區,莊敬里,0,0,0,23044.98576,0,0,0,0,0,0
東區,虎尾里,2,0,0,24340.42107,0,0,0,0,0,0
東區,衛國里,1,0,0,36898.30719,1,0,0,0,0,0
東區,裕聖里,0,0,0.000252811,14572.91403,0,0,0,0,0,0
東區,裕農里,3,0,0,25359.28166,0,0,0,0,0,2
東區,路東里,3,0,0,27439.36604,0,0,0,0,0,0
東區,關聖里,2,0,0.00023023,14899.86261,1,0,0,0,0,3
東區,龍山里,5,2,0,14826.01301,0,0,0,0,1,0
歸仁區,南保里,1,0,0,9778.539023,0,0,0,0,0,2
歸仁區,後市里,8,0,0,11905.17467,2,0,0,0,0,4
歸仁區,文化里,0,1,0,13415.10598,0,0,1,0,1,2
歸仁區,新厝里,7,0,0,8771.04516,0,0,0,0,0,1
歸仁區,看西里,1,0,0,8778.44618,0,0,0,0,0,2
歸仁區,許厝里,5,1,0,12379.14607,1,0,0,0,0,0
歸仁區,辜厝里,2,0,0,15656.38294,0,0,1,0,0,2
永康區,三合里,1,0,0,14493.49046,0,0,0,0,0,1
永康區,三民里,0,1,0.00000292,425.6905721,0,0,0,0,1,0
永康區,中興里,2,0,0,13307.0086,0,0,0,0,0,4
永康區,中華里,1,0,0,17015.06779,0,0,1,0,0,2
永康區,二王里,1,1,0,14589.8884,0,0,0,0,0,1
永康區,五王里,2,0,0,20337.62335,2,0,1,0,0,6
永康區,光復里,0,0,0,8511.563837,0,0,0,0,0,0
永康區,六合里,3,0,0,25816.30751,0,0,0,0,0,0
永康區,勝利里,3,0,0.0000104,18269.33299,1,0,1,0,0,0
永康區,北灣里,0,0,0,13151.71565,0,0,0,0,0,2
永康區,北興里,0,0,0,13014.20176,0,0,0,0,0,0
永康區,南灣里,1,0,0,5494.423607,0,0,0,0,0,1
永康區,埔園里,2,1,0.000148456,11564.18532,0,0,0,0,0,3
永康區,塩洲里,3,2,0.0000705,3590.457432,0,0,1,0,0,1
永康區,塩興里,5,0,0.000135678,11366.04374,0,0,0,0,0,1
永康區,塩行里,3,0,0.0000977,2552.323747,1,0,0,0,0,2
永康區,大橋里,2,0,0.00000179,11847.56585,0,1,1,0,0,4
永康區,大灣里,6,1,0,8784.885557,1,0,0,1,0,0
永康區,安康里,1,0,0,33635.65203,0,0,0,0,0,3
永康區,尚頂里,3,0,0.0000272,2651.382781,0,0,0,0,0,1
永康區,崑山里,6,2,0,4409.806347,0,0,1,0,0,6
永康區,建國里,0,0,0,2422.543682,0,0,0,0,0,0
永康區,復國里,2,0,0,16333.12499,1,0,0,0,0,3
永康區,復興里,1,1,0,4061.853509,0,0,0,0,0,0
永康區,復華里,3,0,0,23653.87694,0,0,1,0,0,3
永康區,成功里,0,0,0,15240.76923,0,0,0,0,0,0
永康區,新樹里,1,0,0,1366.545495,0,0,0,0,0,0
永康區,東橋里,3,1,0.0000541,4286.575084,0,0,0,0,1,0
永康區,東灣里,0,0,0,4564.413667,0,0,1,0,0,2
永康區,正強里,1,0,0.000141784,17242.78085,1,0,0,0,1,4
永康區,永康里,5,2,0.0000763,8711.000716,1,0,1,1,0,3
永康區,永明里,0,0,0,8800.108369,0,0,0,0,0,0
永康區,烏竹里,0,0,0.0001002,6005.092927,0,0,0,0,0,0
永康區,王行里,1,2,0,670.7494694,0,0,0,0,0,0
永康區,甲頂里,2,0,0.0000312,4440.518869,0,0,0,0,0,0
永康區,神洲里,0,0,0,7510.900512,0,0,0,1,0,0
永康區,網寮里,2,0,0.00000818,9702.837455,0,0,0,0,0,2
永康區,蔦松里,1,0,0.0000279,1166.838566,0,0,0,0,0,0
永康區,西勢里,1,0,0,3686.900835,0,0,1,0,0,2
永康區,西橋里,1,0,0.00000504,17513.33797,0,0,0,0,0,0
永康區,西灣里,2,0,0.0000507,8272.165455,0,0,0,0,0,2
永康區,龍埔里,1,0,0.0000696,9345.319626,0,0,0,0,0,0
永康區,龍潭里,1,0,0.00000143,10500.99102,0,0,1,0,0,2
