LON,LAT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
120.15,23.3,0.0221,0.0084,5.2276,0.0033,0.0217,0.0249,0.1339,0.0206,0.026,0.0123,0.0101,0.0149,0.0104,12.8421,0.0242,16.2677,24.7881,0.0147,0.1047,0.0285,26.2293,89.3209,4.1043,74.4336,27.2487,42.5086,3.0248,0.0258,4.0014,3.5995,3.5766,56.6802,11.6335,0.0592,1.2362,16.8662,0.0355,0.038,0.0189,1.7821,0.0077,0.0057,28.1116,0.0057,0.0035,0.0226,0.0012,2.5609,0.0002,13.1893,0.0093,0.0021
120.15,23.35,0.0288,0.011,6.0682,0.0035,0.0299,0.0309,0.1644,0.0257,0.0324,0.016,0.0108,0.0187,0.0098,13.222,0.0254,17.0891,27.7212,0.0137,1.8881,0.0248,31.806,74.8097,3.5507,66.4998,28.0697,38.4045,2.6875,0.0212,1.1339,3.0374,2.8556,62.0129,11.4541,0.0726,0.0981,16.2248,0.0552,0.053,0.0257,0.0257,0.0078,0.0073,32.8006,0.004,0.002,0.0167,0.0008,2.5549,0.0002,15.8419,0.0112,0.0025
120.2,22.9,0.0085,0.0024,5.0554,0.0057,0.0021,0.0131,2.1198,0.0101,0.0142,0.0029,0.0133,0.007,0.0124,18.1049,0.0106,17.9671,5.3708,0.0127,0.0526,0.0451,14.8554,145.7629,5.165,105.3447,41.2034,35.7601,1.0118,0.057,56.9021,8.7195,2.8507,41.1478,28.1684,2.7069,8.4144,37.5776,0.0491,0.0645,0.047,20.4375,0.0658,0.0125,9.3157,0.0072,0.0094,0.01,0.0004,0.0652,0,8.9578,0.0049,0.0006
120.2,22.95,0.0133,0.004,5.9619,0.0074,0.0066,0.0278,1.0322,0.0214,0.0189,0.0043,0.0161,0.0094,0.0115,16.9383,0.0119,18.6077,7.8028,0.0153,0.0709,0.0491,13.8356,145.1079,5.6484,98.3194,41.6719,39.3956,1.4991,0.0598,49.6849,8.2386,3.578,49.6407,26.2461,3.5652,7.9786,34.4003,0.0457,0.062,0.0437,16.8658,0.0518,0.0111,7.1456,0.0088,0.0113,0.0121,0.0006,0.1023,0,7.894,0.008,0.0011
120.2,23,0.0245,0.0077,6.1079,0.0115,0.0087,0.0274,1.6526,0.0211,0.0263,0.0069,0.0204,0.0133,0.0202,13.1406,0.0248,18.5242,9.81,0.0198,0.1,0.0574,14.0828,141.0567,5.9742,98.9669,37.9117,39.355,2.4841,0.0826,43.7586,7.2795,4.5286,53.9172,20.909,3.1921,7.3706,32.62,0.0643,0.0905,0.0613,16.4365,0.0711,0.0173,8.2389,0.0116,0.0143,0.0198,0.0011,0.1451,0,8.5819,0.0099,0.0015
120.2,23.05,0.0272,0.0088,5.7159,0.0107,0.0107,0.0266,2.0997,0.0206,0.0259,0.0077,0.0182,0.0133,0.0164,12.1715,0.0235,17.7503,11.6356,0.0127,0.0692,0.0337,15.4001,139.0389,5.5563,81.7136,35.8528,37.7348,2.2215,0.0646,36.4829,5.3398,3.9374,58.5719,19.6838,2.5226,6.8083,35.8335,0.0497,0.0729,0.0472,14.9151,0.0294,0.0082,4.4096,0.0076,0.0091,0.0171,0.0009,1.1707,0,9.922,0.0049,0.0009
120.2,23.1,0.0202,0.0067,5.9675,0.0067,0.0061,0.0126,1.8533,0.0098,0.0215,0.007,0.0135,0.0111,0.0115,13.4352,0.0188,20.0432,17.8113,0.0118,0.0683,0.0286,18.7215,133.1285,5.761,84.1148,35.1494,39.6255,1.9238,0.056,33.178,4.2167,3.7784,61.4159,19.2279,1.6913,5.3992,34.9541,0.0357,0.0549,0.0337,13.21,0.0162,0.0052,6.7368,0.0038,0.0044,0.0109,0.0005,1.8243,0,13.377,0.0046,0.0009
120.2,23.15,0.019,0.0065,6.2843,0.0053,0.0109,0.0189,2.0985,0.0146,0.0269,0.0096,0.0151,0.0141,0.0076,11.4676,0.0142,21.0618,24.0548,0.0172,0.1042,0.038,18.9991,125.605,5.5759,77.8976,34.442,41.5437,2.6914,0.0608,26.1344,3.9218,4.9336,68.6105,20.6718,1.044,5.3599,26.312,0.0338,0.0495,0.0285,8.2909,0.0085,0.0032,9.5753,0.0058,0.0063,0.0198,0.001,4.1689,0,13.4506,0.0055,0.001
120.2,23.2,0.0198,0.0069,6.3273,0.0046,0.0118,0.0176,1.8883,0.0137,0.027,0.0104,0.0135,0.0143,0.0063,12.1067,0.0125,20.4433,25.4936,0.0112,0.0712,0.0229,21.8672,122.3373,4.5873,76.0783,29.5559,42.9348,3.6085,0.0507,16.5853,4.5607,4.8261,72.9721,20.2594,0.0863,4.0281,27.0795,0.0332,0.044,0.0236,7.1425,0.0176,0.0077,16.0413,0.0076,0.0072,0.0288,0.0014,3.936,0.0001,12.5821,0.009,0.0017
120.2,23.25,0.0167,0.0059,5.3105,0.0033,0.0116,0.0153,1.2893,0.0118,0.0181,0.0075,0.0079,0.0097,0.0043,12.9677,0.0101,18.577,25.6989,0.0118,0.0778,0.0221,21.3709,107.8048,4.1513,75.0492,27.9681,42.5417,3.6754,0.0314,11.3147,4.253,5.0236,65.2329,16.8159,0.0862,2.0325,23.6024,0.0327,0.039,0.0199,4.7338,0.0088,0.0047,23.7333,0.0034,0.0028,0.0143,0.0007,3.6667,0.0001,12.2529,0.0074,0.0013
120.2,23.3,0.0315,0.0113,4.8545,0.005,0.0157,0.0183,1.4569,0.0142,0.0219,0.0096,0.0083,0.0119,0.0106,14.0202,0.0279,16.8177,25.4565,0.0122,0.0831,0.021,26.9307,95.193,4.0857,67.3402,26.3959,42.6911,3.3656,0.0303,5.0974,3.7411,4.14,56.6236,10.3334,0.0846,0.1048,18.3331,0.0352,0.0377,0.0188,1.8622,0.0089,0.0058,24.3665,0.0068,0.0048,0.0308,0.0014,2.2889,0.0001,11.8058,0.011,0.002
120.25,22.9,0.0104,0.003,6.0303,0.008,0.0025,0.0177,2.4772,0.0139,0.0196,0.004,0.0179,0.0086,0.0138,17.3688,0.0154,17.6671,5.8567,0.0131,0.0495,0.0439,15.616,139.9372,5.1547,133.5395,40.9344,35.4113,1.0966,0.0665,64.4146,9.4455,3.4451,43.2995,27.6327,3.8393,9.3777,40.588,0.061,0.0822,0.0586,18.3306,0.0684,0.0125,4.6265,0.0052,0.0063,0.0066,0.0004,0.0584,0,9.6667,0.0056,0.0004
120.25,22.95,0.0134,0.0041,6.1938,0.0086,0.0025,0.0115,1.4267,0.009,0.0147,0.0032,0.0123,0.0066,0.0097,16.5689,0.0128,17.2137,7.7896,0.0109,0.046,0.033,15.2682,142.5483,4.6553,94.5699,42.6104,41.1885,1.529,0.0401,57.0305,8.4895,3.3722,52.8754,26.4097,3.732,8.9071,38.9449,0.0481,0.067,0.046,14.3249,0.0474,0.0099,3.8963,0.0056,0.0066,0.007,0.0005,0.0526,0,9.3146,0.0044,0.0004
120.25,23,0.0148,0.0048,5.3079,0.008,0.0064,0.0214,1.449,0.0168,0.0207,0.005,0.0157,0.0094,0.0144,14.6402,0.0219,17.79,9.012,0.0138,0.0635,0.0377,13.5211,143.3553,5.6014,94.404,38.3883,36.0052,2.991,0.0653,51.5949,7.6112,5.0085,55.6684,23.8682,3.4917,9.3768,38.2989,0.0425,0.0615,0.0407,12.0001,0.0321,0.0076,3.0711,0.0068,0.0079,0.0105,0.0008,0.1132,0.0001,9.303,0.0084,0.0009
120.25,23.05,0.0261,0.0088,6.7941,0.0119,0.0129,0.0343,1.3909,0.0269,0.0258,0.007,0.0178,0.0119,0.0161,13.5628,0.0279,23.5034,12.094,0.0174,0.0858,0.0431,16.6322,146.3095,6.0037,83.9822,36.9333,38.9668,3.999,0.0844,45.3112,6.5117,5.1263,63.5227,24.3516,4.3861,8.6718,38.1035,0.0599,0.0905,0.0571,18.7541,0.0504,0.0137,7.2255,0.0088,0.0099,0.0178,0.0012,3.0208,0.0001,11.0608,0.0075,0.001
120.25,23.1,0.023,0.008,5.6165,0.0089,0.0103,0.0225,1.8176,0.0176,0.0238,0.0072,0.0147,0.0111,0.0063,13.5293,0.011,18.727,16.6224,0.0133,0.0692,0.0297,19.816,138.4907,5.6546,77.6458,34.8354,38.0123,3.0676,0.0578,35.5144,4.079,3.7502,69.7168,22.5361,3.2495,7.3085,37.4507,0.0444,0.0679,0.0406,14.3925,0.0408,0.0129,9.1241,0.0049,0.0052,0.0124,0.0008,2.9795,0.0001,10.5563,0.0057,0.0009
120.25,23.15,0.0183,0.0066,5.9802,0.006,0.014,0.0257,2.2993,0.0201,0.0288,0.0095,0.016,0.0135,0.007,11.6596,0.013,19.635,20.1891,0.0135,0.074,0.0275,20.0507,140.126,4.9949,74.3986,34.4062,40.6117,3.5654,0.0589,27.5567,4.4018,5.6839,73.4497,22.9648,2.5491,6.8558,34.6015,0.0305,0.0423,0.0238,10.6542,0.0193,0.0071,8.1857,0.0065,0.0067,0.0203,0.0012,3.7442,0.0001,12.3771,0.0072,0.0012
120.25,23.2,0.0254,0.0093,6.1884,0.0071,0.0089,0.0141,2.1889,0.011,0.0258,0.0093,0.0127,0.0123,0.006,10.9357,0.0146,18.9942,22.9051,0.0158,0.0905,0.0294,21.7069,131.5206,4.4898,74.6624,32.104,46.1811,3.6408,0.0373,18.7658,3.2903,4.5805,70.44,21.4441,1.1478,4.8633,35.4476,0.0406,0.0511,0.0266,7.0626,0.0201,0.0087,10.532,0.0056,0.0055,0.0209,0.0012,3.8498,0.0001,12.4645,0.0065,0.0011
120.25,23.25,0.0147,0.0055,5.5605,0.0035,0.0118,0.0163,1.9798,0.0127,0.026,0.01,0.0113,0.0125,0.0089,11.1324,0.0239,19.0231,25.4167,0.0142,0.0841,0.024,22.8538,126.6841,4.0312,75.9146,28.1424,42.5417,5.1597,0.0252,13.6232,4.8348,6.3425,70.6987,17.7664,0.0912,3.2689,29.1241,0.0311,0.0354,0.0181,4.1639,0.0179,0.0094,12.1055,0.0076,0.007,0.0338,0.0019,4.0618,0.0001,11.9709,0.0073,0.0013
120.25,23.3,0.0243,0.0093,5.1504,0.0048,0.0159,0.0193,1.5992,0.0151,0.0238,0.0097,0.009,0.0115,0.0103,12.4543,0.0304,15.7332,24.3863,0.0128,0.0782,0.0197,23.3853,104.8929,3.5952,69.9465,26.9881,43.213,4.669,0.0275,6.8732,4.5244,5.6024,64.3756,13.6644,0.0909,1.9241,22.1806,0.0474,0.0487,0.0243,1.972,0.0146,0.0094,20.7969,0.0082,0.0065,0.04,0.0021,2.7825,0.0002,12.1703,0.0106,0.0018
120.25,23.35,0.0423,0.0164,6.3822,0.007,0.0251,0.0273,1.6328,0.0213,0.0416,0.018,0.0135,0.0204,0.0182,12.236,0.0587,14.9976,25.3418,0.0198,1.842,0.0278,28.2551,80.6343,3.0467,69.3645,31.2361,43.7818,4.903,0.0315,2.6704,4.4364,5.6061,66.4281,13.3767,0.1307,1.0522,19.368,0.0757,0.07,0.034,0.0351,0.0109,0.0089,35.184,0.0114,0.0078,0.0596,0.0031,4.1627,0.0002,12.6598,0.012,0.0021
120.3,22.9,0.0138,0.0053,5.4237,0.0118,0.0045,0.0168,1.1606,0.0156,0.0223,0.0065,0.0191,0.0101,0.0118,15.6602,0.0201,17.4774,4.0469,0.0154,0.0499,0.0476,17.2937,153.2098,5.955,92.234,38.964,35.2039,2.2029,0.0877,56.8876,9.2408,3.7105,43.2318,28.1628,5.0604,10.9842,40.9796,0.0969,0.141,0.0922,14.1853,0.0644,0.0149,4.3408,0.0034,0.0033,0.0037,0.0005,0.0822,0.0001,9.2353,0.0091,0.001
120.3,22.95,0.0166,0.0067,6.8927,0.0122,0.0049,0.0229,1.6902,0.021,0.0233,0.0069,0.0183,0.0098,0.0086,15.5802,0.0162,18.8494,7.5216,0.0209,0.0741,0.0583,15.7945,154.1781,5.9725,98.6192,41.4256,37.9188,4.1772,0.0739,57.5788,9.2742,5.8633,54.4146,30.0439,6.363,10.7451,45.1149,0.0781,0.1178,0.0742,14.1385,0.0472,0.0124,4.2566,0.0075,0.007,0.0079,0.0013,0.0888,0.0001,10.0291,0.0087,0.0011
120.3,23,0.0114,0.0048,5.2814,0.0072,0.0058,0.021,1.1282,0.0192,0.0251,0.0075,0.0181,0.0097,0.0099,13.245,0.0203,16.7578,8.3328,0.0154,0.0588,0.0389,12.7513,153.1464,5.9427,98.2617,39.7985,39.504,4.3058,0.0685,55.3673,6.9665,5.9518,56.7718,27.6634,6.0132,10.9617,43.1136,0.0575,0.0881,0.0532,13.4727,0.0677,0.0204,3.4633,0.0077,0.007,0.0093,0.0015,1.2586,0.0001,9.4038,0.0071,0.0011
120.3,23.05,0.0273,0.0119,6.1165,0.0151,0.0125,0.0365,1.2694,0.0333,0.0243,0.0077,0.016,0.009,0.0109,13.3239,0.0244,17.2666,9.8903,0.0201,0.0816,0.0462,14.912,139.0733,5.8975,98.2834,35.284,38.8685,5.7497,0.0807,47.2293,7.4822,6.7461,64.8664,28.0684,6.2119,10.5123,44.2621,0.0625,0.0882,0.0508,14.7845,0.0512,0.0177,4.7379,0.0129,0.0111,0.0195,0.0027,2.3948,0.0003,11.3619,0.0136,0.0025
120.3,23.1,0.0255,0.0115,5.5734,0.0123,0.0121,0.029,1.3256,0.0264,0.0372,0.0124,0.0223,0.0139,0.0108,10.7599,0.0263,17.6942,12.3352,0.0201,0.0861,0.042,18.0399,140.9738,5.1683,87.7322,33.2548,37.7629,4.7736,0.0637,40.1199,4.8196,5.7201,69.8172,23.0079,4.6123,7.7322,41.2531,0.0813,0.1057,0.0575,12.8,0.0422,0.0169,6.1723,0.0083,0.0069,0.0154,0.0019,2.4005,0.0002,10.8248,0.0062,0.0013
120.3,23.15,0.0185,0.0085,5.4013,0.0078,0.0075,0.0154,1.7622,0.0139,0.0203,0.0071,0.011,0.0077,0.0053,12.2055,0.0139,19.7618,17.8603,0.0132,0.0592,0.0252,20.7866,136.3946,5.0303,79.1977,32.2937,38.3428,4.7724,0.046,29.7229,2.9738,5.5465,67.6899,24.0217,3.5261,7.5646,36.6439,0.0541,0.0646,0.0341,10.0255,0.014,0.0065,7.0952,0.0075,0.0059,0.0166,0.0018,4.654,0.0002,11.6665,0.0053,0.0013
120.3,23.2,0.0168,0.0079,6.4057,0.0062,0.0059,0.0104,2.2244,0.0094,0.0229,0.0083,0.0112,0.0087,0.0058,11.5557,0.0163,22.5007,23.4448,0.0066,0.031,0.0115,22.0333,133.9769,4.4488,74.8617,30.5713,43.9473,4.8939,0.0304,24.1897,4.0004,6.0043,74.9002,22.8784,3.0015,5.7908,31.3949,0.0554,0.0608,0.0315,6.1576,0.0258,0.0142,9.529,0.0104,0.0077,0.0269,0.0028,4.3232,0.0001,12.8089,0.003,0.0008
120.3,23.25,0.028,0.0134,6.4076,0.0091,0.0116,0.0179,1.7577,0.016,0.0232,0.0087,0.0102,0.0089,0.006,10.7609,0.0182,16.2206,24.205,0.0172,0.0828,0.0271,24.5884,124.2583,4.3189,81.4939,28.1693,40.6125,5.517,0.0397,16.2436,4.5603,6.4397,70.8619,19.8677,2.2047,3.5033,31.2549,0.0572,0.0574,0.0292,3.7031,0.0155,0.0102,13.3234,0.0081,0.0057,0.0243,0.0023,4.152,0.0004,14.2056,0.0098,0.0024
120.3,23.3,0.0387,0.0188,5.3389,0.011,0.0188,0.0258,1.2474,0.0229,0.0397,0.0155,0.0155,0.0154,0.0127,9.5055,0.0408,13.454,19.3577,0.027,0.1342,0.0389,23.0203,106.2897,3.5198,70.505,25.5367,44.2522,6.4763,0.0406,10.5897,4.3271,6.6161,66.9254,15.293,0.156,2.4472,25.0256,0.0956,0.0877,0.0436,1.8837,0.0167,0.0135,14.0038,0.0114,0.0079,0.039,0.0035,4.1509,0.0006,10.8638,0.0148,0.0037
120.3,23.35,0.0239,0.0118,5.8988,0.0059,0.0156,0.0191,1.228,0.0169,0.0324,0.013,0.0112,0.0127,0.0124,10.7593,0.0424,14.2274,24.8004,0.0208,0.106,0.0272,24.9283,100.4365,2.8411,65.7095,29.5958,46.1555,8.634,0.0244,5.1871,5.3891,8.1491,65.2929,14.6806,0.1002,1.5016,18.737,0.0585,0.0489,0.0236,0.0298,0.0092,0.0094,19.5917,0.0094,0.0064,0.0362,0.0031,4.0478,0.0003,17.3357,0.0084,0.0021
120.3,23.4,0.025,0.0124,7.1273,0.0053,0.0211,0.0233,1.5635,0.0205,0.0332,0.0137,0.0105,0.013,0.013,13.3683,0.047,15.8281,27.1664,0.0222,0.1158,0.0264,31.2861,83.5565,2.6526,62.9512,31.6948,43.9088,7.8662,0.0223,0.0785,5.1631,7.5807,67.8368,12.7579,0.0887,0.0948,16.0931,0.0658,0.05,0.0234,0.0123,0.0035,0.0047,18.7957,0.0085,0.0058,0.0371,0.0031,4.3717,0.0005,16.5615,0.0114,0.0029
