OBJECTID,Id,Shape,date,type,WeekName
2316,7716.0,"POLYGON ((13394921.5891 2627484.4728000015, 13394951.7458 2627515.5254000016, 13394974.1395 2627607.1900999993, 13394904.868500002 2627642.4228000008, 13394829.5095 2627633.6484999992, 13394761.0466 2627614.2259000018, 13394730.977400001 2627526.756099999, 13394865.4556 2627486.2643, 13394863.664099999 2627487.1601000018, 13394921.5891 2627484.4728000015))",2016/07/22,噴藥,30.0
2317,,POINT EMPTY,,,
2319,9964.0,"POLYGON ((13388396.343600001 2632709.438000001, 13388493.6948 2632534.5779, 13388544.4538 2632585.9340000004, 13388568.6389 2632710.4428000003, 13388396.343600001 2632709.438000001))",2016/09/05,噴藥,37.0
2320,,POINT EMPTY,,,
2322,9966.0,"POLYGON ((13384700.846299998 2622404.4571999982, 13384546.1807 2622322.3471000008, 13384557.228300001 2622299.3563, 13384563.7971 2622283.2327999994, 13384567.3972 2622282.053199999, 13384572.1745 2622282.053199999, 13384593.075199999 2622285.3376, 13384625.919300001 2622290.7120999992, 13384679.0669 2622315.4943999983, 13384729.2287 2622342.0681999996, 13384767.7458 2622378.1966999993, 13384777.0018 2622387.7512999997, 13384768.342999998 2622402.0832, 13384753.695300002 2622428.3436999992, 13384700.846299998 2622404.4571999982))",2016/09/19,噴藥,39.0
2323,,POINT EMPTY,,,
2324,9967.0,"POLYGON ((13385526.5145 2629319.2692999989, 13385505.9124 2629236.5621000007, 13385575.482 2629200.1350999996, 13385638.4828 2629191.1776, 13385685.658799998 2629194.7606000006, 13385682.374400001 2629332.4069, 13385530.694699999 2629332.7054999992, 13385527.111699998 2629318.6722000018, 13385526.813099999 2629318.9706999995, 13385526.5145 2629319.2692999989))",2016/10/27,噴藥,44.0
2330,,POINT EMPTY,,,
2331,7788.0,"POLYGON ((13382631.618099999 2630314.7841, 13382602.9542 2630278.3570999987, 13382679.3913 2630243.124400001, 13382845.4029 2630286.7173999995, 13382705.666499998 2630306.4237999991, 13382632.8125 2630314.186900001, 13382631.618099999 2630314.7841))",2016/07/22,噴藥,30.0
2332,9972.0,"POLYGON ((13385697.1529 2629325.4846, 13385798.9694 2629323.3944999985, 13385802.851 2629379.8264999986, 13385700.4373 2629380.4237000011, 13385697.451499999 2629327.5747000016, 13385696.8543 2629325.4846, 13385697.1529 2629325.4846))",2016/09/18,噴藥,39.0
2334,,POINT EMPTY,,,
2335,,POINT EMPTY,,,
2337,,POINT EMPTY,,,
2338,9969.0,"POLYGON ((13385596.528700002 2629184.3663000017, 13385588.467 2629155.7023999989, 13385585.4811 2629135.1002000012, 13385585.4811 2629130.322900001, 13385587.869800001 2629130.322900001, 13385596.528700002 2629184.3663000017))",2016/09/18,噴藥,39.0
2339,,POINT EMPTY,,,
2340,,POINT EMPTY,,,
2344,6175.0,"POLYGON ((13397157.660500001 2659925.8416000009, 13397156.4661 2659927.0359000005, 13397156.4661 2659925.8416000009, 13397157.660500001 2659925.8416000009))",2015/09/02,噴藥,36.0
2346,,POINT EMPTY,,,
2348,,POINT EMPTY,,,
2349,,POINT EMPTY,,,
2350,,POINT EMPTY,,,
2352,9977.0,"POLYGON ((13398356.1717 2629038.1259999983, 13398359.456099998 2628997.2201999985, 13398403.0491 2628969.1534999982, 13398428.129999999 2628998.1160000004, 13398428.727200001 2629037.2302, 13398356.1717 2629038.4246000014, 13398356.1717 2629038.1259999983))",2016/09/28,孳清,40.0
2354,,POINT EMPTY,,,
2355,,POINT EMPTY,,,
2356,,POINT EMPTY,,,
2357,,POINT EMPTY,,,
2359,,POINT EMPTY,,,
2361,,POINT EMPTY,,,
2362,,POINT EMPTY,,,
2364,,POINT EMPTY,,,
2365,,POINT EMPTY,,,
2367,,POINT EMPTY,,,
2368,,POINT EMPTY,,,
2369,,POINT EMPTY,,,
2371,,POINT EMPTY,,,
2372,,POINT EMPTY,,,
2373,,POINT EMPTY,,,
2379,9981.0,"POLYGON ((13381421.825599998 2631001.5143, 13381423.4538 2630995.243999999, 13381421.526999999 2631001.2157000005, 13381415.0935 2630990.1680999994, 13381420.9298 2630979.1206, 13381411.3752 2630971.9545999989, 13381403.9106 2630984.7936999984, 13381394.0574 2630980.613499999, 13381392.102699999 2630978.8220000006, 13381389.2801 2630976.7318999991, 13381386.294300001 2630962.1013999991, 13381360.9148 2630951.3524999991, 13381379.725499999 2630913.432500001, 13381388.384399999 2630911.9395999983, 13381402.7163 2630901.4891999997, 13381414.6596 2630876.1097999997, 13381451.385200001 2630871.0339, 13381471.987399999 2630876.1097999997, 13381489.9023 2630876.7069000006, 13381493.4853 2630902.683600001, 13381489.9023 2630921.195700001, 13381480.9448 2630936.4233999997, 13381478.094300002 2630942.0964, 13381481.677299999 2630945.3808000013, 13381486.454599999 2630969.5659999996, 13381460.1794 2630987.4809000008, 13381428.991500001 2630987.1823000014, 13381421.825599998 2631001.5143))",2016/09/28,孳清,40.0
2380,,POINT EMPTY,,,
2381,,POINT EMPTY,,,
2382,,POINT EMPTY,,,
2384,,POINT EMPTY,,,
2386,,POINT EMPTY,,,
2387,,POINT EMPTY,,,
2389,,POINT EMPTY,,,
2390,,POINT EMPTY,,,
2391,,POINT EMPTY,,,
2392,,POINT EMPTY,,,
2393,,POINT EMPTY,,,
2398,,POINT EMPTY,,,
2399,,POINT EMPTY,,,
2400,,POINT EMPTY,,,
2402,,POINT EMPTY,,,
2403,,POINT EMPTY,,,
2404,,POINT EMPTY,,,
2405,,POINT EMPTY,,,
2406,,POINT EMPTY,,,
2407,,POINT EMPTY,,,
2411,,POINT EMPTY,,,
2413,9998.0,"POLYGON ((13385496.2143 2632157.717, 13385435.6021 2632124.2758000009, 13385436.199299999 2632090.2373999991, 13385450.5312 2632058.8863000013, 13385497.707199998 2632075.6068999991, 13385512.9349 2632105.4651000015, 13385515.920699999 2632116.8112000003, 13385496.2143 2632157.717))",2016/10/17,噴藥,43.0
2415,,POINT EMPTY,,,
2416,,POINT EMPTY,,,
2417,,POINT EMPTY,,,
2418,,POINT EMPTY,,,
2419,10000.0,"POLYGON ((13385666.386 2633946.1099999994, 13385638.629299998 2633890.4065999985, 13385688.182500001 2633858.9241000004, 13385724.908100002 2633921.9248999991, 13385665.788800001 2633946.4085999988, 13385666.386 2633946.1099999994))",2016/10/24,孳清,44.0
2420,10001.0,"POLYGON ((13384362.0203 2633254.9752000012, 13384420.2438 2633166.2963000014, 13384427.4098 2633151.9642999992, 13384524.150400002 2633194.6616000012, 13384528.3305 2633203.618999999, 13384505.339699998 2633283.0419000015, 13384438.7559 2633264.8284000009, 13384417.855099998 2633299.1653000005, 13384361.721700002 2633254.9752000012, 13384362.0203 2633254.9752000012))",2016/10/27,噴藥,44.0
2422,,POINT EMPTY,,,
2423,10011.0,"POLYGON ((13396747.068 2659975.5245000012, 13396740.200599998 2659954.6237000003, 13396731.243099999 2659930.1400000006, 13396719.6668 2659880.8740000017, 13396815.8103 2659854.5987000018, 13396852.8345 2659918.4952999987, 13396862.986299999 2659950.7421999983, 13396750.651 2659984.1834000014, 13396747.6651 2659974.6286999993, 13396747.9637 2659977.614599999, 13396747.068 2659975.5245000012))",2015/09/02,噴藥,36.0
2431,,POINT EMPTY,,,
2432,,POINT EMPTY,,,
2434,,POINT EMPTY,,,
2438,,POINT EMPTY,,,
2440,,POINT EMPTY,,,
2441,,POINT EMPTY,,,
2444,,POINT EMPTY,,,
2448,,POINT EMPTY,,,
2449,,POINT EMPTY,,,
2450,,POINT EMPTY,,,
2453,10028.0,"POLYGON ((13389436.256900001 2641501.3165999986, 13389436.256900001 2641501.0179999992, 13389396.844 2641464.5909999982, 13389401.0242 2641394.125599999, 13389404.010000002 2641375.613499999, 13389441.034200002 2641379.495099999, 13389487.613000002 2641398.6043, 13389511.4996 2641410.8462000005, 13389515.679699998 2641440.4058, 13389510.603799999 2641498.3308000006, 13389472.683899999 2641492.9563000016, 13389468.5037 2641510.871199999, 13389436.256900001 2641501.3165999986))",2016/11/25,噴藥,48.0
2455,,POINT EMPTY,,,
2456,,POINT EMPTY,,,
2459,10041.0,"POLYGON ((13379809.269299999 2630984.3724000007, 13379810.463599999 2630984.0738000013, 13379786.875599999 2630877.181400001, 13379813.748 2630856.877799999, 13379891.677900001 2630860.759300001, 13379920.3418 2630854.7877000012, 13379922.133299999 2630862.8493999988, 13379923.4582 2630867.0352, 13379924.9511 2630870.6182000004, 13379927.0412 2630881.3671000004, 13379928.8327 2630894.8033000007, 13379932.8823 2630911.2197000012, 13379934.3752 2630920.4758, 13379936.8944 2630925.5573000014, 13379938.3873 2630930.3346000016, 13379939.5817 2630935.1119000018, 13379941.242600001 2630939.2864999995, 13379944.8255 2630955.1112999991, 13379809.269299999 2630984.3724000007))",2016/12/03,孳清,49.0
2461,9974.0,"POLYGON ((13385512.846700002 2629101.2976999991, 13385530.164500002 2629138.9189999998, 13385521.804200001 2629180.7205, 13385495.529 2629201.0240999982, 13385444.1728 2629202.2184000015, 13385428.6466 2629188.4836999997, 13385420.2863 2629130.558699999, 13385423.869199999 2629115.6295999996, 13385455.519000001 2629086.3685999997, 13385505.0836 2629079.7998000011, 13385512.846700002 2629101.2976999991))",2016/09/22,孳清,39.0
2463,,POINT EMPTY,,,
2472,10044.0,"POLYGON ((13387668.537999999 2635160.9946000017, 13387666.7465 2635162.7861, 13387667.343600001 2635160.9946000017, 13387668.537999999 2635160.9946000017))",2016/12/08,孳清,50.0
2478,,POINT EMPTY,,,
2481,10054.0,"POLYGON ((13379895.2656 2632670.3500999995, 13379895.2656 2632669.7529999986, 13379913.1805 2632435.6646, 13379952.593400002 2632441.6361999996, 13379975.2856 2632439.2474999987, 13380031.419100001 2632451.1908, 13380100.6901 2632452.3852000013, 13380103.675999999 2632472.0916000009, 13380098.8986 2632504.3385000005, 13380123.0838 2632631.8330000006, 13380071.727699999 2632614.2166999988, 13380027.537500001 2632721.7063000016, 13379895.2656 2632670.3500999995))",2017/01/05,噴藥,1.0
2483,10055.0,"POLYGON ((13392078.269299999 2647995.3869000003, 13392078.567899998 2647995.3869000003, 13392109.919 2647798.9199, 13392264.584600002 2647822.5078999996, 13392232.636300001 2648019.2734999992, 13392078.269299999 2647995.3869000003))",2017/01/07,噴藥,1.0
2486,,POINT EMPTY,,,
2488,,POINT EMPTY,,,
2490,,POINT EMPTY,,,
2491,10061.0,"POLYGON ((13381472.9109 2631051.5212999992, 13381527.2529 2630963.1409999989, 13381576.2203 2630915.6664999984, 13381586.0735 2630925.2210999988, 13381553.2295 2630974.1886, 13381583.087699998 2631022.5588999987, 13381602.197 2631019.5729999989, 13381610.557300001 2631034.5022, 13381636.5339 2631043.4596000016, 13381641.9084 2631059.2844999991, 13381472.9109 2631051.8198999986, 13381472.9109 2631051.5212999992))",2017/01/10,孳清,2.0
2492,10062.0,"POLYGON ((13381533.359499998 2631035.4541000016, 13381533.9567 2631032.1697000004, 13381535.7482 2631032.7668999992, 13381537.539700001 2631033.0654000007, 13381538.734000001 2631032.1697000004, 13381540.5255 2631031.5725000016, 13381541.421300001 2631031.5725000016, 13381540.824099999 2631035.752700001, 13381535.8739 2631035.2025999986, 13381533.359499998 2631035.4541000016))",2017/01/11,噴藥,2.0
2494,,POINT EMPTY,,,
2495,,POINT EMPTY,,,
2498,,POINT EMPTY,,,
2499,,POINT EMPTY,,,
2500,,POINT EMPTY,,,
2501,,POINT EMPTY,,,
2502,,POINT EMPTY,,,
2505,,POINT EMPTY,,,
2506,,POINT EMPTY,,,
2508,10066.0,"POLYGON ((13389242.634300001 2628236.0573000014, 13389242.9329 2628236.0573000014, 13389249.800299998 2628291.5936000012, 13389253.383299999 2628299.9538999982, 13389259.653499998 2628348.3242000006, 13389268.013799999 2628452.5293000005, 13389089.7603 2628454.6193999983, 13388994.512600001 2628441.7804000005, 13388979.882100001 2628269.7971, 13389242.634300001 2628236.0573000014))",2017/02/03,噴藥,5.0
2513,,POINT EMPTY,,,
3504,,POINT EMPTY,,,
3505,,POINT EMPTY,,,
3507,10067.0,"POLYGON ((13389124.849399999 2628281.2085000016, 13389123.9536 2628268.6680999994, 13389142.167100001 2628265.9807999991, 13389143.361499999 2628279.7155999988, 13389124.849399999 2628281.2085000016))",2017/01/20,噴藥,3.0
3517,11074.0,"POLYGON ((13395783.822700001 2626534.4008999988, 13395783.822700001 2626534.1022999994, 13395810.9936 2626500.9596999995, 13395834.880199999 2626480.9545999989, 13395870.4115 2626460.9496, 13395899.6725 2626451.3949999996, 13395936.995299999 2626448.7078000009, 13395963.5691 2626471.1013999991, 13395978.796799999 2626492.3007999994, 13395965.061999999 2626515.8887999989, 13395962.972 2626523.6519000009, 13395955.2088 2626553.808699999, 13395942.967 2626574.4109000005, 13395933.710900001 2626582.1739999987, 13395935.2038 2626608.1506000012, 13395936.995299999 2626646.6677, 13395931.3222 2626647.8621000014, 13395916.6917 2626624.871199999, 13395896.0896 2626610.8379000016, 13395839.657499999 2626573.2164999992, 13395783.822700001 2626534.4008999988))",2017/02/23,噴藥,8.0
3522,11075.0,"POLYGON ((13382363.2317 2629363.0007000007, 13382362.9331 2629363.2991999984, 13382287.989 2629623.3643000014, 13382188.561099999 2629597.3876000009, 13382176.0207 2629601.5678000003, 13382169.153299998 2629540.6570000015, 13382150.044 2629543.0456999987, 13382137.503600001 2629441.2292000018, 13382103.1666 2629430.1816000007, 13382118.991500001 2629370.1666, 13382214.8363 2629387.185800001, 13382224.0924 2629338.2183, 13382363.2317 2629363.0007000007))",2017/03/15,噴藥,11.0
3524,,POINT EMPTY,,,
3525,11078.0,"POLYGON ((13382311.560600001 2629447.2302, 13382285.8825 2629535.9091, 13382296.0343 2629541.5821999982, 13382290.9584 2629548.7481000014, 13382290.9584 2629574.4261999987, 13382184.961800002 2629535.6105000004, 13382180.4831 2629431.1068000011, 13382193.322099999 2629426.6279999986, 13382311.261999998 2629447.8273999989, 13382311.560600001 2629447.2302))",2017/03/13,噴藥,11.0
3527,11081.0,"POLYGON ((13384853.9934 2634346.0456000008, 13384854.292 2634346.0456000008, 13384774.5706 2634477.4217999987, 13384750.684 2634530.2707999982, 13384733.067699999 2634582.8213, 13384617.815000001 2634506.9814000018, 13384745.011 2634266.0256000012, 13384853.9934 2634346.0456000008))",2017/03/21,噴藥,12.0
3528,11072.0,"POLYGON ((13383385.7819 2633018.3277000003, 13383444.304000001 2632982.7965000011, 13383472.669300001 2632884.8614999987, 13383520.741 2632878.8898999989, 13383525.2198 2632921.8856999986, 13383602.254 2632913.5254000016, 13383607.0313 2632958.3126999997, 13383599.5667 2632977.123399999, 13383681.378199998 2633052.3660999984, 13383614.7944 2633110.5896000005, 13383590.0121 2633094.4662000015, 13383564.931200001 2633126.1158999987, 13383532.385699999 2633157.1684000008, 13383509.693500001 2633133.8790000007, 13383485.209800001 2633150.5995999984, 13383484.314 2633151.4954000004, 13383385.7819 2633018.6262999997, 13383385.7819 2633018.3277000003))",2017/02/03,噴藥,5.0
3538,,POINT EMPTY,,,
3539,,POINT EMPTY,,,
3540,,POINT EMPTY,,,
3543,11096.0,"POLYGON ((13381703.581300002 2633851.8564000018, 13381704.178399999 2633851.5577999987, 13381745.382800002 2633940.8339000009, 13381611.319400001 2634040.5603, 13381558.470400002 2633933.3693000004, 13381703.581300002 2633851.8564000018))",2015/05/01,孳清,18.0
3544,11097.0,"POLYGON ((13381528.015 2633995.7729999982, 13381447.932599999 2633831.3680999987, 13381511.2944 2633829.1640999988, 13381577.281 2633970.3935000002, 13381527.417800002 2633996.370099999, 13381528.015 2633995.7729999982))",2017/05/11,噴藥,19.0
3547,,POINT EMPTY,,,
3555,9996.0,"POLYGON ((13395735.387600001 2627660.6248000003, 13395713.8897 2627720.6398000009, 13395667.609499998 2627719.7441000007, 13395628.7938 2627691.6774000004, 13395621.3292 2627661.8191, 13395655.068999998 2627603.5956000015, 13395698.662 2627603.2969999984, 13395726.7287 2627626.8850000016, 13395735.387600001 2627660.6248000003))",2016/10/13,孳清,42.0
3562,,POINT EMPTY,,,
3565,,POINT EMPTY,,,
3566,,POINT EMPTY,,,
3568,,POINT EMPTY,,,
3573,,POINT EMPTY,,,
3576,,POINT EMPTY,,,
3577,,POINT EMPTY,,,
3583,,POINT EMPTY,,,
3584,,POINT EMPTY,,,
3589,,POINT EMPTY,,,
3594,,POINT EMPTY,,,
3598,,POINT EMPTY,,,
3600,,POINT EMPTY,,,
3604,,POINT EMPTY,,,
3606,,POINT EMPTY,,,
3610,,POINT EMPTY,,,
3611,,POINT EMPTY,,,
3618,,POINT EMPTY,,,
3619,5998.0,"POLYGON ((13399139.0522 2666575.817499999, 13399128.303199999 2666548.0493, 13399172.4934 2666541.1818999983, 13399202.9487 2666523.8641999997, 13399234.897 2666538.1961000003, 13399227.432500001 2666561.7841, 13399187.4225 2666586.2677999996, 13399139.0522 2666575.817499999))",2015/08/18,噴藥,34.0
3625,,POINT EMPTY,,,
3627,,POINT EMPTY,,,
3632,,POINT EMPTY,,,
3635,,POINT EMPTY,,,
3636,,POINT EMPTY,,,
3637,,POINT EMPTY,,,
3639,,POINT EMPTY,,,
3642,,POINT EMPTY,,,
3651,,POINT EMPTY,,,
3653,7796.0,"POLYGON ((13382747.7097 2631650.5610000007, 13382704.116700001 2631554.4175000004, 13382769.207600001 2631497.0898, 13382852.2135 2631580.6928000003, 13382809.2176 2631651.1581999995, 13382748.306899998 2631650.5610000007, 13382748.306899998 2631649.9637999982, 13382747.7097 2631650.5610000007))",2016/07/25,噴藥,31.0
3657,,POINT EMPTY,,,
3658,,POINT EMPTY,,,
3661,11119.0,"POLYGON ((13374961.217300002 2649934.4690000005, 13374935.5392 2649973.5832, 13374905.979600001 2649944.6207999997, 13374928.671799999 2649918.9426999986, 13374960.620099999 2649934.7674999982, 13374961.217300002 2649934.4690000005))",2015/05/01,孳清,18.0
3662,,POINT EMPTY,,,
3667,,POINT EMPTY,,,
3668,,POINT EMPTY,,,
3671,,POINT EMPTY,,,
3672,,POINT EMPTY,,,
3678,,POINT EMPTY,,,
3683,,POINT EMPTY,,,
3687,,POINT EMPTY,,,
3688,,POINT EMPTY,,,
3691,,POINT EMPTY,,,
3693,11173.0,"POLYGON ((13376463.061500002 2630690.2241999991, 13376473.2133 2630568.7012000009, 13376569.6554 2630576.7630000003, 13376566.9681 2630633.1950000003, 13376625.490200002 2630637.0766000003, 13376621.907200001 2630697.6887000017, 13376463.360100001 2630690.2241999991, 13376463.061500002 2630690.2241999991))",2017/05/25,噴藥,21.0
