里編號,區里,經度,緯度
160,永康區正強里,120.253058,23.030466
161,永康區永明里,120.2630959,23.023207
162,永康區永康里,120.257429,23.023434
163,永康區甲頂里,120.216915,23.021307
164,永康區光復里,120.244897,22.999879
165,永康區安康里,120.228444,23.014735
166,永康區成功里,120.237496,23.002913
167,永康區西勢里,120.278611,23.017545
168,永康區西橋里,120.225377,23.01547
169,永康區西灣里,120.259771,23.010884
170,永康區尚頂里,120.224935,23.026241
171,永康區東橋里,120.240003,23.025555
172,永康區東灣里,120.268883,22.999874
173,永康區南灣里,120.261898,23.00004
174,永康區建國里,120.248252,22.999831
175,永康區埔園里,120.25695,23.036102
176,永康區烏竹里,120.264459,23.042151
177,永康區神洲里,120.241398,23.004585
178,永康區崑山里,120.256168,23.000663
179,永康區勝利里,120.231944,23.003112
180,永康區復國里,120.247388,23.006185
181,永康區復華里,120.246059,23.010097
182,永康區復興里,120.243276,22.998426
183,永康區塩行里,120.239476,23.037743
184,永康區塩洲里,120.2316208,23.043039
185,永康區塩興里,120.2404132,23.044395
186,永康區新樹里,120.279232,23.027518
187,永康區網寮里,120.254138,23.015129
188,永康區蔦松里,120.257877,23.044974
189,永康區龍埔里,120.258586,23.038448
190,永康區龍潭里,120.267136,23.030704
191,玉井區三和里,120.468193,23.095108
192,玉井區三埔里,120.496062,23.0952
193,玉井區中正里,120.465025,23.148142
194,玉井區玉井里,120.458982,23.125807
195,玉井區玉田里,120.458956,23.12019
196,玉井區竹圍里,120.475828,23.132502
197,玉井區沙田里,120.49532,23.116049
198,玉井區望明里,120.44038,23.100485
199,玉井區層林里,120.431218,23.083249
200,玉井區豐里里,120.448323,23.151389
201,白河區大竹里,120.405863,23.36523
202,白河區大林里,120.453903,23.335371
203,白河區內角里,120.444686,23.402224
204,白河區六溪里,120.461674,23.314358
205,白河區仙草里,120.486324,23.344421
206,白河區外角里,120.425289,23.349112
207,白河區永安里,120.407182,23.34583
208,白河區白河里,120.41377,23.344401
209,白河區庄內里,120.427916,23.356987
210,白河區竹門里,120.444583,23.377888
211,白河區汴頭里,120.453389,23.365214
212,白河區秀祐里,120.398759,23.348579
213,白河區昇安里,120.432028,23.367341
214,白河區河東里,120.42891,23.343996
215,白河區虎山里,120.455951,23.353376
216,白河區崁頭里,120.424718,23.327221
217,白河區馬稠後里,120.436183,23.391302
218,白河區崎內里,120.476118,23.380796
219,白河區詔豐里,120.412025,23.393287
220,白河區廣蓮里,120.404178,23.397977
221,白河區關嶺里,120.507384,23.31673
222,安平區天妃里,120.1618421,23.000425
223,安平區文平里,120.18217,22.986428
224,安平區王城里,120.1618421,23.000435
225,安平區平安里,120.177254,22.999388
226,安平區平通里,120.167802,22.994688
227,安平區育平里,120.166504,22.988342
228,安平區怡平里,120.177198,22.994078
229,安平區金城里,120.151313,22.995468
230,安平區建平里,120.182673,22.99352
231,安平區國平里,120.168603,22.981752
232,安平區華平里,120.17354,22.994204
233,安平區漁光里,120.155457,22.978405
234,安平區億載里,120.159482,22.991484
235,安定區中沙里,120.207823,23.074512
236,安定區中榮里,120.24329,23.09541
237,安定區文科里,120.2080032,23.109057
238,安定區安加里,120.237486,23.113839
239,安定區安定里,120.249715,23.116173
240,安定區海寮里,120.208315,23.100584
241,安定區港口里,120.230935,23.095025
242,安定區港尾里,120.23897,23.10516
243,安定區港南里,120.234496,23.086689
244,安定區新吉里,120.203271,23.085271
245,安定區嘉同里,120.2116972,23.081153
246,安定區蘇林里,120.259701,23.12163
247,安定區蘇厝里,120.247493,23.124227
248,安南區大安里,120.194633,23.032636
249,安南區公塭里,120.158264,23.068278
250,安南區公親里,120.198525,23.0774
251,安南區四草里,120.126119,23.013544
252,安南區布袋里,120.206491,23.063696
253,安南區安西里,120.205708,23.03252
254,安南區安和里,120.218776,23.031791
255,安南區安東里,120.217325,23.034737
256,安南區安富里,120.195928,23.024922
257,安南區安順里,120.221095,23.050955
258,安南區安慶里,120.210474,23.038423
259,安南區州北里,120.217314,23.068735
260,安南區州南里,120.217622,23.059399
261,安南區佃西里,120.165018,23.069722
262,安南區佃東里,120.182474,23.071936
263,安南區幸福里,120.189704,23.020041
264,安南區東和里,120.235615,23.057943
265,安南區長安里,120.195183,23.066502
266,安南區青草里,120.106087,23.073463
267,安南區南興里,120.153353,23.074852
268,安南區城中里,120.128922,23.06308
269,安南區城北里,120.135747,23.058016
270,安南區城西里,120.090063,23.048684
271,安南區城東里,120.132096,23.067287
272,安南區城南里,120.116186,23.05127
273,安南區砂崙里,120.124152,23.079416
274,安南區原佃里,120.195897,23.051533
275,安南區海西里,120.174698,23.03303
276,安南區海佃里,120.189242,23.025493
277,安南區海東里,120.188356,23.036523
278,安南區海南里,120.164036,23.010616
279,安南區國安里,120.180923,23.023436
280,安南區梅花里,120.197631,23.037275
281,安南區淵中里,120.170696,23.044495
282,安南區淵西里,120.164118,23.055802
283,安南區淵東里,120.180682,23.055085
284,安南區理想里,120.191734,23.036224
285,安南區頂安里,120.20725,23.040746
286,安南區鹿耳里,120.124353,23.031748
287,安南區塩田里,120.153383,23.027969
288,安南區塭南里,120.2200169,23.073280
289,安南區媽祖宮里,120.1254632,23.038769
290,安南區新順里,120.218157,23.047825
291,安南區溪心里,120.186108,23.051817
292,安南區溪北里,120.212867,23.026244
293,安南區溪東里,120.201749,23.025439
294,安南區溪頂里,120.208079,23.025733
295,安南區溪墘里,120.192623,23.024526
296,安南區鳳凰里,120.197357,23.042321
297,安南區學東里,120.140791,23.076618
298,安南區總頭里,120.205301,23.051996
299,西港區永樂里,120.177896,23.094541
300,西港區竹林里,120.186244,23.121719
301,西港區西港里,120.201906,23.126242
302,西港區金砂里,120.204253,23.153723
303,西港區南海里,120.19557,23.104881
304,西港區後營里,120.220629,23.141958
305,西港區港東里,120.217317,23.122166
306,西港區新復里,120.183876,23.09822
307,西港區劉厝里,120.177896,23.129686
308,西港區慶安里,120.19409,23.127087
309,西港區檨林里,120.230522,23.134927
310,西港區營西里,120.204793,23.139982
311,佳里區下營里,120.1472567,23.170721
312,佳里區子龍里,120.206643,23.172355
313,佳里區六安里,120.18115,23.172649
314,佳里區文新里,120.1670223,23.161936
315,佳里區民安里,120.192613,23.171606
316,佳里區安西里,120.164996,23.16329
317,佳里區佳化里,120.198654,23.190347
318,佳里區佳興里,120.1767989,23.181460
319,佳里區忠仁里,120.185281,23.158286
320,佳里區東寧里,120.182129,23.162676
321,佳里區南勢里,120.1557013,23.169011
322,佳里區建南里,120.16937,23.150825
323,佳里區海澄里,120.167157,23.178616
324,佳里區塭內里,120.1292319,23.170764
325,佳里區營溪里,120.2123559,23.188361
326,佳里區鎮山里,120.186712,23.149236
327,官田區二鎮里,120.331895,23.211314
328,官田區大崎里,120.39196,23.185208
329,官田區官田里,120.342463,23.189876
330,官田區東西庄里,120.2844582,23.188206
331,官田區社子里,120.366727,23.175491
332,官田區南廍里,120.303493,23.215263
333,官田區烏山頭里,120.3422818,23.209094
334,官田區渡拔里,120.3266762,23.174473
335,官田區隆本里,120.309732,23.198946
336,官田區隆田里,120.313438,23.188759
337,東山區三榮里,120.382807,23.323305
338,東山區大客里,120.423523,23.311857
339,東山區水雲里,120.416792,23.272569
340,東山區東山里,120.399914,23.330903
341,東山區東中里,120.399851,23.312355
342,東山區東正里,120.411961,23.326388
343,東山區東河里,120.381532,23.298847
344,東山區東原里,120.451812,23.284832
345,東山區林安里,120.428882,23.284073
346,東山區青山里,120.487204,23.273185
347,東山區南勢里,120.487409,23.247802
348,東山區南溪里,120.403492,23.271977
349,東山區科里里,120.407916,23.294768
350,東山區高原里,120.492441,23.289122
351,東山區聖賢里,120.357289,23.310588
352,東山區嶺南里,120.435114,23.255045
353,東區大同里,120.212852,22.985058
354,東區大智里,120.233262,22.963178
355,東區大福里,120.215642,22.974759
356,東區大德里,120.214821,22.978457
357,東區大學里,120.22224,22.996058
358,東區小東里,120.228454,22.997695
359,東區中西里,120.220931,22.989531
360,東區仁和里,120.235574,22.970043
361,東區文聖里,120.24244,22.983956
362,東區成大里,120.215182,22.997034
363,東區自強里,120.232519,22.982544
364,東區和平里,120.233854,22.97585
365,東區忠孝里,120.218864,22.977592
366,東區東光里,120.229734,22.992085
367,東區東安里,120.220906,22.987084
368,東區東明里,120.226878,22.991782
369,東區東門里,120.214495,22.989319
370,東區東智里,120.223184,22.962199
371,東區東聖里,120.234397,22.986771
372,東區虎尾里,120.235213,22.978756
373,東區南聖里,120.242353,22.989021
374,東區後甲里,120.241372,22.993541
375,東區泉南里,120.215367,22.985224
376,東區崇文里,120.230038,22.967678
377,東區崇成里,120.228024,22.968616
378,東區崇明里,120.220266,22.969535
379,東區崇信里,120.226551,22.9807
380,東區崇善里,120.230177,22.974108
381,東區崇誨里,120.225827,22.989564
382,東區崇德里,120.226456,22.975074
383,東區崇學里,120.223371,22.977335
384,東區莊敬里,120.232066,22.99709
385,東區圍下里,120.214736,22.991433
386,東區富強里,120.230019,22.984871
387,東區富裕里,120.226645,22.984701
388,東區復興里,120.238227,22.982111
389,東區新東里,120.224869,22.986634
390,東區裕聖里,120.245548,22.979257
391,東區裕農里,120.229855,22.988004
392,東區路東里,120.213612,22.980104
393,東區德光里,120.219793,22.980559
394,東區德高里,120.235227,22.965707
395,東區衛國里,120.224304,22.98813
396,東區龍山里,120.221159,22.983844
397,東區關聖里,120.242533,22.986439
398,南化區小崙里,120.497255,23.052752
399,南化區中坑里,120.452707,23.052875
400,南化區北平里,120.459961,23.071394
401,南化區北寮里,120.496133,23.073518
402,南化區玉山里,120.540219,23.084959
403,南化區西埔里,120.459382,23.030638
404,南化區東和里,120.482636,23.019698
405,南化區南化里,120.483841,23.041285
406,南化區關山里,120.599719,23.167912
407,南區大成里,120.199278,22.979653
408,南區大忠里,120.209992,22.970369
409,南區大林里,120.207455,22.970601
410,南區大恩里,120.208295,22.95696
411,南區文南里,120.186127,22.983704
412,南區文華里,120.189239,22.986781
413,南區永寧里,120.180716,22.928249
414,南區田寮里,120.194327,22.977397
415,南區光明里,120.187189,22.972367
416,南區再興里,120.192541,22.979285
417,南區同安里,120.18778,22.922424
418,南區竹溪里,120.206499,22.977296
419,南區佛壇里,120.179462,22.917993
420,南區府南里,120.194218,22.971121
421,南區明亮里,120.192771,22.970075
422,南區明德里,120.200666,22.972517
423,南區明興里,120.190895,22.964259
424,南區松安里,120.179031,22.924745
425,南區金華里,120.1881,22.979957
426,南區南都里,120.184643,22.956244
427,南區南華里,120.186712,22.962423
428,南區建南里,120.193046,22.956676
429,南區省躬里,120.188754,22.933943
430,南區郡南里,120.195242,22.964615
431,南區國宅里,120.187481,22.975692
432,南區喜北里,120.177268,22.947023
433,南區喜東里,120.190254,22.944019
434,南區喜南里,120.177072,22.939211
435,南區開南里,120.186005,22.966573
436,南區新生里,120.210506,22.977596
437,南區新昌里,120.196242,22.985083
438,南區新興里,120.194337,22.979041
439,南區彰南里,120.176482,22.972312
440,南區廣州里,120.193649,22.984871
441,南區興農里,120.191424,22.929324
442,南區鯤鯓里,120.167332,22.963026
443,南區鹽埕里,120.1851326,22.965691
444,後壁區上茄苳里,120.3675752,23.387566
445,後壁區土溝里,120.393017,23.376758
446,後壁區竹新里,120.305934,23.345694
447,後壁區長安里,120.361544,23.334787
448,後壁區長短樹里,120.3219592,23.364802
449,後壁區侯伯里,120.367763,23.371935
450,後壁區後壁里,120.365612,23.363537
451,後壁區頂安里,120.351702,23.339659
452,後壁區菁寮里,120.323145,23.380697
453,後壁區菁豐里,120.3431541,23.376467
454,後壁區新東里,120.330028,23.338476
455,後壁區新嘉里,120.305847,23.366245
456,後壁區嘉苳里,120.368648,23.354547
457,後壁區福安里,120.35155,23.324705
458,柳營區人和里,120.306042,23.287334
459,柳營區八翁里,120.294338,23.271082
460,柳營區士林里,120.30713,23.273469
461,柳營區大農里,120.363864,23.278784
462,柳營區中埕里,120.318143,23.27004
463,柳營區太康里,120.334273,23.285217
464,柳營區光福里,120.314781,23.273818
465,柳營區旭山里,120.401198,23.260302
466,柳營區東昇里,120.325222,23.273493
467,柳營區果毅里,120.370847,23.252932
468,柳營區重溪里,120.355733,23.29468
469,柳營區神農里,120.354304,23.256486
470,柳營區篤農里,120.373185,23.287897
471,將軍區平沙里,120.096841,23.209625
472,將軍區玉山里,120.121524,23.210099
473,將軍區西甲里,120.1093431,23.200374
474,將軍區忠嘉里,120.1488899,23.208549
475,將軍區長沙里,120.096655,23.224189
476,將軍區長榮里,120.163404,23.191464
477,將軍區巷埔里,120.1485286,23.220661
478,將軍區苓仔寮里,120.1614891,23.220727
479,將軍區將軍里,120.1434643,23.220770
480,將軍區廣山里,120.118964,23.219142
481,將軍區鯤溟里,120.088085,23.188436
482,將軍區鯤鯓里,120.092992,23.195155
483,麻豆區大埕里,120.249534,23.187194
