CODE1,TOWN,VILLAGE,COUNT,lat,lon,type,coordinates
A6731-22-004,永康區,二王里,2,23.020309633,120.246177471,Polygon,"[[[120.247070316, 23.021128375], [120.247113608, 23.020722587], [120.246921912, 23.020689729], [120.247065223, 23.019712383], [120.24673546, 23.019727124], [120.246011046, 23.019734367], [120.245351816, 23.020008244], [120.244552236, 23.02027344], [120.244908829, 23.020366131], [120.24592168, 23.020719974], [120.247070316, 23.021128375]]]"
A6731-22-006,永康區,二王里,3,23.019933572,120.249776757,Polygon,"[[[120.250004391, 23.022243045], [120.250521634, 23.019904956], [120.250555378, 23.018956947], [120.25065206, 23.017377124], [120.250639386, 23.017271251], [120.250266186, 23.017840213], [120.249188584, 23.01864431], [120.248907042, 23.018908924], [120.249038357, 23.019053549], [120.249041948, 23.019579613], [120.24889386, 23.021032855], [120.249085606, 23.021056808], [120.248972828, 23.021789229], [120.249605409, 23.022038289], [120.250004391, 23.022243045]]]"
A6731-22-007,永康區,二王里,4,23.019283937,120.245924271,Polygon,"[[[120.24673546, 23.019727124], [120.246892286, 23.018920667], [120.246901525, 23.018714662], [120.24623811, 23.018761463], [120.245356764, 23.018645219], [120.245055422, 23.019423814], [120.244966454, 23.019714352], [120.245140211, 23.019931179], [120.245351816, 23.020008244], [120.246011046, 23.019734367], [120.24673546, 23.019727124]]]"
A6731-22-008,永康區,二王里,4,23.019206081,120.247279667,Polygon,"[[[120.247596371, 23.018606136], [120.2472254, 23.018625827], [120.246901525, 23.018714662], [120.246892286, 23.018920667], [120.24673546, 23.019727124], [120.247065223, 23.019712383], [120.247941819, 23.019578348], [120.247694501, 23.019180185], [120.247596371, 23.018606136]]]"
A6731-22-010,永康區,復華里,2,23.017543592,120.24881685,Polygon,"[[[120.250639386, 23.017271251], [120.250490662, 23.016283056], [120.249421162, 23.016296423], [120.247135039, 23.016318727], [120.247327197, 23.01673341], [120.247405347, 23.017051848], [120.247422049, 23.017674899], [120.247716164, 23.01767531], [120.247596371, 23.018606136], [120.247694501, 23.019180185], [120.247941819, 23.019578348], [120.248133313, 23.019517247], [120.2486445, 23.019186675], [120.248907042, 23.018908924], [120.249188584, 23.01864431], [120.250266186, 23.017840213], [120.250639386, 23.017271251]]]"
A6731-29-002,永康區,甲頂里,2,23.022207998,120.218311815,Polygon,"[[[120.221184931, 23.021771941], [120.219121938, 23.021627069], [120.21898766, 23.021822943], [120.21880673, 23.021612769], [120.218647293, 23.021543046], [120.218504577, 23.021695341], [120.218188544, 23.021499735], [120.217770363, 23.021163672], [120.217722488, 23.020975428], [120.217487119, 23.02090226], [120.217250731, 23.020721525], [120.216905639, 23.021141957], [120.217046657, 23.021221235], [120.216661724, 23.02173005], [120.216214676, 23.021611827], [120.216219493, 23.02203469], [120.217613185, 23.023148969], [120.21820753, 23.023650877], [120.219407786, 23.022895831], [120.219822202, 23.022617793], [120.221184931, 23.021771941]]]"
A6731-29-005,永康區,甲頂里,3,23.020257432,120.215711212,Polygon,"[[[120.217722488, 23.020975428], [120.217674723, 23.020581158], [120.21761225, 23.020307832], [120.216983975, 23.019875794], [120.216822939, 23.019570231], [120.216580988, 23.019128815], [120.216536406, 23.018850918], [120.216341295, 23.018956056], [120.215447552, 23.019567934], [120.214727012, 23.018697469], [120.213659854, 23.019588411], [120.213565933, 23.019689719], [120.21423987, 23.020412853], [120.216219493, 23.02203469], [120.216214676, 23.021611827], [120.216661724, 23.02173005], [120.217046657, 23.021221235], [120.216905639, 23.021141957], [120.217250731, 23.020721525], [120.217487119, 23.02090226], [120.217722488, 23.020975428]]]"
A6731-29-006,永康區,甲頂里,2,23.019965687,120.220688521,Polygon,"[[[120.222130794, 23.019405462], [120.221599188, 23.019239359], [120.220556245, 23.018841416], [120.220344338, 23.018792964], [120.219749544, 23.018661354], [120.219436451, 23.018435073], [120.219032235, 23.018885649], [120.218777064, 23.019368946], [120.218686383, 23.019858302], [120.219010584, 23.019909774], [120.218982328, 23.020689681], [120.218949905, 23.020756486], [120.219528325, 23.0208357], [120.220946167, 23.020868697], [120.22122386, 23.020908041], [120.221418079, 23.021064075], [120.221718006, 23.021431494], [120.221866498, 23.021339257], [120.2222986, 23.021067973], [120.223017223, 23.020610195], [120.223019965, 23.020608448], [120.222372658, 23.019707132], [120.222130794, 23.019405462]]]"
A6731-31-005,永康區,永康里,3,23.02113364,120.259607062,Polygon,"[[[120.261139591, 23.023260172], [120.26125654, 23.022542704], [120.261341895, 23.021930125], [120.261427555, 23.021404476], [120.261698026, 23.020787805], [120.260963503, 23.020549329], [120.260309543, 23.020325235], [120.260037372, 23.020195987], [120.259745299, 23.02001966], [120.259473906, 23.019750378], [120.25900405, 23.018750179], [120.258042148, 23.019078728], [120.257432034, 23.019259824], [120.257826751, 23.020038055], [120.258669911, 23.022079563], [120.25911024, 23.023012669], [120.259883255, 23.022991263], [120.260326758, 23.023057326], [120.261139591, 23.023260172]]]"
A6731-32-001,永康區,東橋里,3,23.022035525,120.234683699,Polygon,"[[[120.239327461, 23.017793661], [120.238860197, 23.017497988], [120.237957441, 23.016901613], [120.237235432, 23.01745317], [120.2367276, 23.018135721], [120.236080749, 23.017708192], [120.234790582, 23.019730531], [120.234145843, 23.019328957], [120.233990921, 23.019588631], [120.23401677, 23.020020909], [120.233818113, 23.020124713], [120.233778445, 23.020513343], [120.233321995, 23.020292547], [120.232699733, 23.02025025], [120.232345521, 23.020340198], [120.231330938, 23.021685277], [120.230825803, 23.022354949], [120.2304714, 23.02282478], [120.22967427, 23.023435308], [120.232561285, 23.025074437], [120.233395344, 23.025569122], [120.234499312, 23.026223879], [120.235671069, 23.026899635], [120.235347924, 23.026339491], [120.235332596, 23.026184347], [120.23549048, 23.026020146], [120.235825361, 23.025875782], [120.236055615, 23.025645861], [120.23615794, 23.025247955], [120.236531909, 23.024750798], [120.236968859, 23.024573893], [120.23719305, 23.024397943], [120.237210749, 23.024260057], [120.236937012, 23.023836728], [120.236324762, 23.023054899], [120.236779625, 23.022216408], [120.23692951, 23.021807213], [120.237067384, 23.021229982], [120.237308398, 23.020556075], [120.237662539, 23.019898154], [120.238077685, 23.019338062], [120.239327461, 23.017793661]]]"
